[1200, 825]
[paragraph, [139.0, 105.0, 550.0, 18.0], shoonya_0sSRJNO7YXGTEO, 5690754]
[paragraph, [139.0, 123.0, 550.0, 18.0], shoonya_0sSRJNO7YXGTEO, 5690754]
[paragraph, [139.0, 141.0, 550.0, 18.0], shoonya_0sSRJNO7YXGTEO, 5690754]
[paragraph, [139.0, 159.0, 550.0, 18.0], shoonya_0sSRJNO7YXGTEO, 5690754]
[paragraph, [139.0, 177.0, 550.0, 18.0], shoonya_0sSRJNO7YXGTEO, 5690754]
[paragraph, [139.0, 195.0, 550.0, 18.0], shoonya_0sSRJNO7YXGTEO, 5690754]
[paragraph, [139.0, 213.0, 550.0, 18.0], shoonya_0sSRJNO7YXGTEO, 5690754]
[paragraph, [139.0, 231.0, 550.0, 18.0], shoonya_0sSRJNO7YXGTEO, 5690754]
[paragraph, [139.0, 249.0, 550.0, 18.0], shoonya_0sSRJNO7YXGTEO, 5690754]
[paragraph, [139.0, 267.0, 550.0, 18.0], shoonya_0sSRJNO7YXGTEO, 5690754]
[paragraph, [138.0, 290.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 308.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 326.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 344.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 362.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 380.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 398.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 416.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 434.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 452.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 470.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 488.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 506.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 524.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 542.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 560.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 578.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 596.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [138.0, 614.0, 547.0, 18.0], zV6WsbIrLD, 5690754]
[paragraph, [135.0, 648.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 666.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 684.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 702.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 720.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 738.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 756.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 774.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 792.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 810.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 828.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 846.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 864.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 882.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 900.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 918.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [135.0, 936.0, 549.0, 18.0], L9icfhxd86, 5690754]
[paragraph, [138.0, 966.0, 551.0, 18.0], _fzrb-_Rrm, 5690754]
[paragraph, [138.0, 984.0, 551.0, 18.0], _fzrb-_Rrm, 5690754]
[paragraph, [138.0, 1002.0, 551.0, 18.0], _fzrb-_Rrm, 5690754]
[paragraph, [138.0, 1020.0, 551.0, 18.0], _fzrb-_Rrm, 5690754]
[paragraph, [138.0, 1038.0, 551.0, 18.0], _fzrb-_Rrm, 5690754]
