[897, 612]
[headline, [196.0, 34.0, 201.0, 25.5], shoonya_4sGDLMQ6P1KMVQ, 6459925]
[paragraph, [50.0, 90.0, 477.0, 18.0], shoonya_0sSSYWO8CHAWZG, 6459925]
[paragraph, [50.0, 108.0, 477.0, 18.0], shoonya_0sSSYWO8CHAWZG, 6459925]
[paragraph, [50.0, 126.0, 477.0, 18.0], shoonya_0sSSYWO8CHAWZG, 6459925]
[paragraph, [50.0, 144.0, 477.0, 18.0], shoonya_0sSSYWO8CHAWZG, 6459925]
[paragraph, [50.0, 162.0, 477.0, 18.0], shoonya_0sSSYWO8CHAWZG, 6459925]
[paragraph, [50.0, 180.0, 477.0, 18.0], shoonya_0sSSYWO8CHAWZG, 6459925]
[paragraph, [50.0, 198.0, 477.0, 18.0], shoonya_0sSSYWO8CHAWZG, 6459925]
[paragraph, [50.0, 216.0, 477.0, 18.0], shoonya_0sSSYWO8CHAWZG, 6459925]
[paragraph, [50.0, 234.0, 477.0, 18.0], shoonya_0sSSYWO8CHAWZG, 6459925]
[paragraph, [50.0, 252.0, 477.0, 18.0], shoonya_0sSSYWO8CHAWZG, 6459925]
[paragraph, [50.0, 270.0, 477.0, 18.0], shoonya_0sSSYWO8CHAWZG, 6459925]
[paragraph, [46.0, 293.0, 486.0, 18.0], shoonya_1s8X623W8UFXU9, 6459925]
[paragraph, [46.0, 311.0, 486.0, 18.0], shoonya_1s8X623W8UFXU9, 6459925]
[paragraph, [46.0, 329.0, 486.0, 18.0], shoonya_1s8X623W8UFXU9, 6459925]
[paragraph, [46.0, 347.0, 486.0, 18.0], shoonya_1s8X623W8UFXU9, 6459925]
[paragraph, [46.0, 365.0, 486.0, 18.0], shoonya_1s8X623W8UFXU9, 6459925]
[paragraph, [46.0, 383.0, 486.0, 18.0], shoonya_1s8X623W8UFXU9, 6459925]
[paragraph, [46.0, 401.0, 486.0, 18.0], shoonya_1s8X623W8UFXU9, 6459925]
[paragraph, [46.0, 419.0, 486.0, 18.0], shoonya_1s8X623W8UFXU9, 6459925]
[paragraph, [46.0, 437.0, 486.0, 18.0], shoonya_1s8X623W8UFXU9, 6459925]
[paragraph, [46.0, 455.0, 486.0, 18.0], shoonya_1s8X623W8UFXU9, 6459925]
[paragraph, [50.0, 492.0, 480.0, 18.0], shoonya_6sFESNTUBWAH78, 6459925]
[paragraph, [50.0, 510.0, 480.0, 18.0], shoonya_6sFESNTUBWAH78, 6459925]
[paragraph, [50.0, 528.0, 480.0, 18.0], shoonya_6sFESNTUBWAH78, 6459925]
[paragraph, [50.0, 546.0, 480.0, 18.0], shoonya_6sFESNTUBWAH78, 6459925]
[paragraph, [50.0, 564.0, 480.0, 18.0], shoonya_6sFESNTUBWAH78, 6459925]
[paragraph, [44.0, 594.0, 485.0, 18.0], shoonya_2sR710365PNA77, 6459925]
[paragraph, [44.0, 612.0, 485.0, 18.0], shoonya_2sR710365PNA77, 6459925]
[paragraph, [44.0, 630.0, 485.0, 18.0], shoonya_2sR710365PNA77, 6459925]
[paragraph, [44.0, 648.0, 485.0, 18.0], shoonya_2sR710365PNA77, 6459925]
[paragraph, [44.0, 666.0, 485.0, 18.0], shoonya_2sR710365PNA77, 6459925]
[paragraph, [44.0, 684.0, 485.0, 18.0], shoonya_2sR710365PNA77, 6459925]
[paragraph, [44.0, 702.0, 485.0, 18.0], shoonya_2sR710365PNA77, 6459925]
[paragraph, [44.0, 720.0, 485.0, 18.0], shoonya_2sR710365PNA77, 6459925]
[paragraph, [44.0, 738.0, 485.0, 18.0], shoonya_2sR710365PNA77, 6459925]
[paragraph, [44.0, 756.0, 485.0, 18.0], shoonya_2sR710365PNA77, 6459925]
[footnote, [68.0, 796.0, 460.0, 18.0], shoonya_5sFVWT6MJV7HTW, 6459925]
[footnote, [68.0, 814.0, 460.0, 18.0], shoonya_5sFVWT6MJV7HTW, 6459925]
[footnote, [68.0, 832.0, 460.0, 18.0], shoonya_5sFVWT6MJV7HTW, 6459925]
