[2400, 1600]
[website-link, [1242.0, 109.0, 175.0, 18.0], fShCM0iwoF, 5660615]
[website-link, [978.0, 111.0, 247.0, 18.0], CLQihUk3DH, 5660615]
[website-link, [978.0, 129.0, 247.0, 18.0], CLQihUk3DH, 5660615]
[folio, [244.0, 181.0, 566.0, 36.0], shoonya_1sCZKJQEJNI6EL, 5660615]
[folio, [244.0, 217.0, 566.0, 36.0], shoonya_1sCZKJQEJNI6EL, 5660615]
[paragraph, [165.0, 291.0, 1282.0, 36.0], omm1PFrrac, 5660615]
[paragraph, [165.0, 327.0, 1282.0, 36.0], omm1PFrrac, 5660615]
[paragraph, [165.0, 363.0, 1282.0, 36.0], omm1PFrrac, 5660615]
[paragraph, [159.0, 427.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 463.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 499.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 535.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 571.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 607.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 643.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 679.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 715.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 751.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 787.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 823.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 859.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 895.0, 1278.0, 36.0], Jp0efyJHxq, 5660615]
[paragraph, [159.0, 961.0, 1290.0, 36.0], 4NJMmszeoi, 5660615]
[paragraph, [159.0, 997.0, 1290.0, 36.0], 4NJMmszeoi, 5660615]
[paragraph, [159.0, 1033.0, 1290.0, 36.0], 4NJMmszeoi, 5660615]
[paragraph, [159.0, 1069.0, 1290.0, 36.0], 4NJMmszeoi, 5660615]
[paragraph, [159.0, 1105.0, 1290.0, 36.0], 4NJMmszeoi, 5660615]
[paragraph, [159.0, 1141.0, 1290.0, 36.0], 4NJMmszeoi, 5660615]
[paragraph, [159.0, 1177.0, 1290.0, 36.0], 4NJMmszeoi, 5660615]
[paragraph, [159.0, 1213.0, 1290.0, 36.0], 4NJMmszeoi, 5660615]
[paragraph, [159.0, 1249.0, 1290.0, 36.0], 4NJMmszeoi, 5660615]
[paragraph, [159.0, 1285.0, 1290.0, 36.0], 4NJMmszeoi, 5660615]
[paragraph, [159.0, 1321.0, 1290.0, 36.0], 4NJMmszeoi, 5660615]
[paragraph, [159.0, 1357.0, 1290.0, 36.0], 4NJMmszeoi, 5660615]
[paragraph, [152.0, 1428.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1464.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1500.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1536.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1572.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1608.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1644.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1680.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1716.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1752.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1788.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1824.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1860.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1896.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1932.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 1968.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 2004.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [152.0, 2040.0, 1288.0, 36.0], shoonya_0s6FKD8HZP07MI, 5660615]
[paragraph, [159.0, 2100.0, 1284.0, 36.0], n7uAoNmPVY, 5660615]
[paragraph, [159.0, 2136.0, 1284.0, 36.0], n7uAoNmPVY, 5660615]
[paragraph, [159.0, 2172.0, 1284.0, 36.0], n7uAoNmPVY, 5660615]
[footnote, [291.0, 2290.0, 1012.0, 36.0], Hqw4V3iy75, 5660615]
[footnote, [291.0, 2326.0, 1012.0, 36.0], Hqw4V3iy75, 5660615]
