[4767, 3325]
[paragraph, [244.0, 518.0, 2543.0, 52.5], x5CxtylTFu, 5710133]
[paragraph, [244.0, 570.5, 2543.0, 52.5], x5CxtylTFu, 5710133]
[paragraph, [244.0, 623.0, 2543.0, 52.5], x5CxtylTFu, 5710133]
[paragraph, [244.0, 675.5, 2543.0, 52.5], x5CxtylTFu, 5710133]
[paragraph, [244.0, 728.0, 2543.0, 52.5], x5CxtylTFu, 5710133]
[paragraph, [244.0, 780.5, 2543.0, 52.5], x5CxtylTFu, 5710133]
[paragraph, [244.0, 833.0, 2543.0, 52.5], x5CxtylTFu, 5710133]
[paragraph, [244.0, 885.5, 2543.0, 52.5], x5CxtylTFu, 5710133]
[paragraph, [244.0, 938.0, 2543.0, 52.5], x5CxtylTFu, 5710133]
[paragraph, [244.0, 990.5, 2543.0, 52.5], x5CxtylTFu, 5710133]
[paragraph, [244.0, 1043.0, 2543.0, 52.5], x5CxtylTFu, 5710133]
[paragraph, [226.0, 1131.0, 2572.0, 52.5], uwy4WbDpNu, 5710133]
[paragraph, [226.0, 1183.5, 2572.0, 52.5], uwy4WbDpNu, 5710133]
[paragraph, [226.0, 1236.0, 2572.0, 52.5], uwy4WbDpNu, 5710133]
[paragraph, [226.0, 1288.5, 2572.0, 52.5], uwy4WbDpNu, 5710133]
[paragraph, [226.0, 1341.0, 2572.0, 52.5], uwy4WbDpNu, 5710133]
[paragraph, [226.0, 1393.5, 2572.0, 52.5], uwy4WbDpNu, 5710133]
[paragraph, [226.0, 1446.0, 2572.0, 52.5], uwy4WbDpNu, 5710133]
[paragraph, [226.0, 1498.5, 2572.0, 52.5], uwy4WbDpNu, 5710133]
[paragraph, [226.0, 1551.0, 2572.0, 52.5], uwy4WbDpNu, 5710133]
[paragraph, [226.0, 1603.5, 2572.0, 52.5], uwy4WbDpNu, 5710133]
[paragraph, [226.0, 1656.0, 2572.0, 52.5], uwy4WbDpNu, 5710133]
