[2806, 1983]
[paragraph, [217.0, 231.0, 1546.0, 46.5], shoonya_0s46IGURXD4UJU, 5682928]
[paragraph, [217.0, 277.5, 1546.0, 46.5], shoonya_0s46IGURXD4UJU, 5682928]
[paragraph, [217.0, 324.0, 1546.0, 46.5], shoonya_0s46IGURXD4UJU, 5682928]
[paragraph, [217.0, 370.5, 1546.0, 46.5], shoonya_0s46IGURXD4UJU, 5682928]
[paragraph, [217.0, 417.0, 1546.0, 46.5], shoonya_0s46IGURXD4UJU, 5682928]
[paragraph, [217.0, 463.5, 1546.0, 46.5], shoonya_0s46IGURXD4UJU, 5682928]
[paragraph, [217.0, 510.0, 1546.0, 46.5], shoonya_0s46IGURXD4UJU, 5682928]
[paragraph, [217.0, 556.5, 1546.0, 46.5], shoonya_0s46IGURXD4UJU, 5682928]
[paragraph, [217.0, 603.0, 1546.0, 46.5], shoonya_0s46IGURXD4UJU, 5682928]
[paragraph, [212.0, 769.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 815.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 862.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 908.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 955.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1001.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1048.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1094.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1141.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1187.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1234.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1280.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1327.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1373.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1420.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1466.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1513.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1559.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1606.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1652.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1699.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1745.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1792.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1838.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1885.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1931.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 1978.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 2024.5, 1552.0, 46.5], wM4RL9eAzf, 5682928]
[paragraph, [212.0, 2071.0, 1552.0, 46.5], wM4RL9eAzf, 5682928]
