[1200, 825]
[paragraph, [141.0, 99.0, 544.0, 18.0], shoonya_0s1YOOI9N4Q5VZ, 5691275]
[paragraph, [141.0, 117.0, 544.0, 18.0], shoonya_0s1YOOI9N4Q5VZ, 5691275]
[paragraph, [141.0, 135.0, 544.0, 18.0], shoonya_0s1YOOI9N4Q5VZ, 5691275]
[paragraph, [141.0, 153.0, 544.0, 18.0], shoonya_0s1YOOI9N4Q5VZ, 5691275]
[paragraph, [141.0, 171.0, 544.0, 18.0], shoonya_0s1YOOI9N4Q5VZ, 5691275]
[paragraph, [141.0, 189.0, 544.0, 18.0], shoonya_0s1YOOI9N4Q5VZ, 5691275]
[paragraph, [141.0, 207.0, 544.0, 18.0], shoonya_0s1YOOI9N4Q5VZ, 5691275]
[paragraph, [141.0, 225.0, 544.0, 18.0], shoonya_0s1YOOI9N4Q5VZ, 5691275]
[paragraph, [141.0, 243.0, 544.0, 18.0], shoonya_0s1YOOI9N4Q5VZ, 5691275]
[paragraph, [137.0, 263.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 281.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 299.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 317.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 335.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 353.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 371.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 389.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 407.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 425.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 443.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 461.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 479.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 497.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 515.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 533.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 551.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 569.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 587.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 605.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 623.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 641.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 659.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 677.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 695.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 713.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [137.0, 731.0, 550.0, 18.0], LIuD4EK8mg, 5691275]
[paragraph, [140.0, 754.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 772.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 790.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 808.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 826.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 844.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 862.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 880.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 898.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 916.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 934.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 952.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 970.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 988.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 1006.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 1024.0, 549.0, 18.0], MVYi4ZordL, 5691275]
[paragraph, [140.0, 1042.0, 549.0, 18.0], MVYi4ZordL, 5691275]
