[594, 353]
[folio, [154.0, 17.0, 49.0, 18.0], shoonya_3sISQCN3LO9DZH, 5700601]
[paragraph, [12.0, 40.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 58.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 76.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 94.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 112.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 130.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 148.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 166.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 184.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 202.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 220.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 238.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 256.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 274.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 292.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 310.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 328.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 346.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 364.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 382.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 400.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 418.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [12.0, 436.0, 331.0, 18.0], shoonya_0sYJNXT6MY6W2B, 5700601]
[paragraph, [35.0, 458.0, 308.0, 18.0], yu_n34o2jF, 5700601]
[paragraph, [71.0, 477.0, 265.0, 18.0], YdB1o97Vd7, 5700601]
[paragraph, [71.0, 495.0, 265.0, 18.0], YdB1o97Vd7, 5700601]
[sidebar, [10.0, 479.0, 64.0, 18.0], 9jxP72vPrE, 5700601]
[paragraph, [15.0, 513.0, 319.0, 18.0], shoonya_2sVXU2S66YSN96, 5700601]
[paragraph, [15.0, 531.0, 319.0, 18.0], shoonya_2sVXU2S66YSN96, 5700601]
[paragraph, [15.0, 549.0, 319.0, 18.0], shoonya_2sVXU2S66YSN96, 5700601]
