[1806, 1178]
[chapter-title, [247.0, 312.0, 745.0, 58.5], shoonya_0sISP9MVM1SI6D, 5750741]
[paragraph, [131.0, 423.0, 977.0, 36.0], gC_Mr9vO5Z, 5750741]
[paragraph, [131.0, 459.0, 977.0, 36.0], gC_Mr9vO5Z, 5750741]
[paragraph, [131.0, 495.0, 977.0, 36.0], gC_Mr9vO5Z, 5750741]
[paragraph, [131.0, 531.0, 977.0, 36.0], gC_Mr9vO5Z, 5750741]
[paragraph, [131.0, 567.0, 977.0, 36.0], gC_Mr9vO5Z, 5750741]
[paragraph, [205.0, 632.0, 652.0, 36.0], yLt6ORf-xW, 5750741]
[paragraph, [205.0, 668.0, 652.0, 36.0], yLt6ORf-xW, 5750741]
[reference, [661.0, 730.0, 261.0, 36.0], 4ghxrY6dX_, 5750741]
[paragraph, [225.0, 782.0, 436.0, 36.0], ssz4YGsdvD, 5750741]
[paragraph, [225.0, 818.0, 436.0, 36.0], ssz4YGsdvD, 5750741]
[paragraph, [225.0, 854.0, 436.0, 36.0], ssz4YGsdvD, 5750741]
[paragraph, [225.0, 890.0, 436.0, 36.0], ssz4YGsdvD, 5750741]
[paragraph, [200.0, 920.0, 612.0, 36.0], uaUyYgTucr, 5750741]
[paragraph, [200.0, 956.0, 612.0, 36.0], uaUyYgTucr, 5750741]
[ordered-list, [140.0, 1018.0, 950.0, 36.0], UPR8REu2uv, 5750741]
[ordered-list, [140.0, 1054.0, 950.0, 36.0], UPR8REu2uv, 5750741]
[ordered-list, [140.0, 1090.0, 950.0, 36.0], UPR8REu2uv, 5750741]
[ordered-list, [140.0, 1126.0, 950.0, 36.0], UPR8REu2uv, 5750741]
[ordered-list, [140.0, 1162.0, 950.0, 36.0], UPR8REu2uv, 5750741]
[ordered-list, [140.0, 1198.0, 950.0, 36.0], UPR8REu2uv, 5750741]
[ordered-list, [140.0, 1234.0, 950.0, 36.0], UPR8REu2uv, 5750741]
[ordered-list, [140.0, 1270.0, 950.0, 36.0], UPR8REu2uv, 5750741]
[ordered-list, [140.0, 1306.0, 950.0, 36.0], UPR8REu2uv, 5750741]
[ordered-list, [140.0, 1342.0, 950.0, 36.0], UPR8REu2uv, 5750741]
[folio, [565.0, 1643.0, 181.0, 36.0], pUIMCiZJXO, 5750741]
