[594, 353]
[folio, [152.0, 3.0, 54.0, 18.0], shoonya_3sKSYD4YOYLDYT, 5701281]
[paragraph, [10.0, 29.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 47.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 65.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 83.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 101.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 119.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 137.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 155.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 173.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 191.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 209.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 227.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 245.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 263.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 281.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 299.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 317.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 335.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 353.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 371.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 389.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 407.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 425.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 443.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 461.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 479.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 497.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 515.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 533.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
[paragraph, [10.0, 551.0, 337.0, 18.0], shoonya_0sKMDFHWUP7SEH, 5701281]
