[1545, 2000]
[sub-section-title, [712.0, 105.0, 304.0, 36.0], 8lNQiwTHQR, 6513894]
[sub-section-title, [712.0, 141.0, 304.0, 36.0], 8lNQiwTHQR, 6513894]
[section-title, [720.0, 228.0, 246.0, 49.5], 9JD-o0oaMA, 6513894]
[unordered-list, [695.0, 330.0, 465.0, 36.0], shoonya_1sGI4WVWPPBTH1, 6513894]
[unordered-list, [695.0, 366.0, 465.0, 36.0], shoonya_1sGI4WVWPPBTH1, 6513894]
[unordered-list, [695.0, 402.0, 465.0, 36.0], shoonya_1sGI4WVWPPBTH1, 6513894]
[unordered-list, [695.0, 438.0, 465.0, 36.0], shoonya_1sGI4WVWPPBTH1, 6513894]
[headline, [683.0, 569.0, 512.0, 37.5], shoonya_0sN9MUR2V4Q5W3, 6513894]
[headline, [683.0, 606.5, 512.0, 37.5], shoonya_0sN9MUR2V4Q5W3, 6513894]
[headline, [683.0, 644.0, 512.0, 37.5], shoonya_0sN9MUR2V4Q5W3, 6513894]
[headline, [683.0, 681.5, 512.0, 37.5], shoonya_0sN9MUR2V4Q5W3, 6513894]
[headline, [683.0, 719.0, 512.0, 37.5], shoonya_0sN9MUR2V4Q5W3, 6513894]
[headline, [683.0, 756.5, 512.0, 37.5], shoonya_0sN9MUR2V4Q5W3, 6513894]
[headline, [683.0, 794.0, 512.0, 37.5], shoonya_0sN9MUR2V4Q5W3, 6513894]
[headline, [683.0, 831.5, 512.0, 37.5], shoonya_0sN9MUR2V4Q5W3, 6513894]
[sub-section-title, [1363.0, 631.0, 419.0, 36.0], 5ouB4Ifep3, 6513894]
[section-title, [1375.0, 764.0, 271.0, 49.5], x4tyz9yr1L, 6513894]
[section-title, [29.0, 802.0, 155.0, 49.5], LNoJw_wluh, 6513894]
[paragraph, [1355.0, 847.0, 550.0, 36.0], lU50aJpQpe, 6513894]
[paragraph, [1355.0, 883.0, 550.0, 36.0], lU50aJpQpe, 6513894]
[paragraph, [1355.0, 919.0, 550.0, 36.0], lU50aJpQpe, 6513894]
[paragraph, [1355.0, 955.0, 550.0, 36.0], lU50aJpQpe, 6513894]
[headline, [24.0, 866.0, 464.0, 37.5], HoXPoEwv6j, 6513894]
[headline, [24.0, 903.5, 464.0, 37.5], HoXPoEwv6j, 6513894]
[headline, [24.0, 941.0, 464.0, 37.5], HoXPoEwv6j, 6513894]
[headline, [24.0, 978.5, 464.0, 37.5], HoXPoEwv6j, 6513894]
[headline, [24.0, 1016.0, 464.0, 37.5], HoXPoEwv6j, 6513894]
[headline, [24.0, 1053.5, 464.0, 37.5], HoXPoEwv6j, 6513894]
[headline, [24.0, 1091.0, 464.0, 37.5], HoXPoEwv6j, 6513894]
[headline, [24.0, 1128.5, 464.0, 37.5], HoXPoEwv6j, 6513894]
[headline, [24.0, 1166.0, 464.0, 37.5], HoXPoEwv6j, 6513894]
[headline, [24.0, 1203.5, 464.0, 37.5], HoXPoEwv6j, 6513894]
[headline, [24.0, 1241.0, 464.0, 37.5], HoXPoEwv6j, 6513894]
[headline, [24.0, 1278.5, 464.0, 37.5], HoXPoEwv6j, 6513894]
[sub-section-title, [712.0, 974.0, 420.0, 36.0], QZvFCr_gda, 6513894]
[sub-section-title, [1365.0, 1092.0, 140.0, 36.0], _4VsoBGEj1, 6513894]
[section-title, [716.0, 1098.0, 400.0, 49.5], BsD7JlX2x1, 6513894]
[section-title, [1374.0, 1174.0, 274.0, 49.5], Ha9EwVwyi6, 6513894]
[paragraph, [698.0, 1263.0, 571.0, 36.0], 2l0N_xhAPg, 6513894]
[paragraph, [698.0, 1299.0, 571.0, 36.0], 2l0N_xhAPg, 6513894]
[paragraph, [698.0, 1335.0, 571.0, 36.0], 2l0N_xhAPg, 6513894]
[website-link, [34.0, 1407.0, 342.0, 18.0], b9RyBy0FAq, 6513894]
[website-link, [34.0, 1425.0, 342.0, 18.0], b9RyBy0FAq, 6513894]
