[2180, 1468]
[folio, [148.0, 146.0, 188.0, 36.0], nwqKgWvU7b, 5655211]
[paragraph, [149.0, 258.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 294.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 330.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 366.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 402.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 438.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 474.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 510.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 546.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 582.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 618.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 654.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 690.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 726.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 762.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 798.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 834.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 870.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 906.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 942.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 978.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 1014.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [149.0, 1050.0, 1167.0, 36.0], shoonya_0s2HL8S7K3H8U9, 5655211]
[paragraph, [150.0, 1148.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1184.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1220.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1256.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1292.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1328.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1364.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1400.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1436.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1472.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1508.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1544.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1580.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [150.0, 1616.0, 1173.0, 36.0], shoonya_2sNPTD1QKRZR8H, 5655211]
[paragraph, [156.0, 1709.0, 1163.0, 36.0], shoonya_3sFLGFHN8L71QN, 5655211]
[paragraph, [156.0, 1745.0, 1163.0, 36.0], shoonya_3sFLGFHN8L71QN, 5655211]
[paragraph, [156.0, 1781.0, 1163.0, 36.0], shoonya_3sFLGFHN8L71QN, 5655211]
[reference, [152.0, 1913.0, 851.0, 36.0], shoonya_1sB1YJNX000MSA, 5655211]
[reference, [152.0, 1949.0, 851.0, 36.0], shoonya_1sB1YJNX000MSA, 5655211]
[reference, [152.0, 1985.0, 851.0, 36.0], shoonya_1sB1YJNX000MSA, 5655211]
