[1637, 1070]
[paragraph, [48.0, 90.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 126.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 162.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 198.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 234.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 270.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 306.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 342.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 378.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 414.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 450.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 486.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 522.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 558.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [48.0, 594.0, 924.0, 36.0], shoonya_0sQ7TW7O1CUQ0K, 5654390]
[paragraph, [53.0, 636.0, 914.0, 36.0], shoonya_5s7BMTW3Z2TPOZ, 5654390]
[paragraph, [53.0, 672.0, 914.0, 36.0], shoonya_5s7BMTW3Z2TPOZ, 5654390]
[paragraph, [53.0, 708.0, 914.0, 36.0], shoonya_5s7BMTW3Z2TPOZ, 5654390]
[paragraph, [66.0, 810.0, 898.0, 36.0], shoonya_3sO69ENZ3G1C6O, 5654390]
[paragraph, [66.0, 846.0, 898.0, 36.0], shoonya_3sO69ENZ3G1C6O, 5654390]
[paragraph, [66.0, 882.0, 898.0, 36.0], shoonya_3sO69ENZ3G1C6O, 5654390]
[paragraph, [66.0, 918.0, 898.0, 36.0], shoonya_3sO69ENZ3G1C6O, 5654390]
[paragraph, [66.0, 954.0, 898.0, 36.0], shoonya_3sO69ENZ3G1C6O, 5654390]
[paragraph, [171.0, 985.0, 391.0, 36.0], shoonya_8s7IE5CX19IM8F, 5654390]
[paragraph, [174.0, 1027.0, 204.0, 36.0], shoonya_2sNZH4NDOW0G32, 5654390]
[paragraph, [176.0, 1072.0, 672.0, 36.0], shoonya_4sB379L3Q7EYDK, 5654390]
[paragraph, [68.0, 1118.0, 897.0, 36.0], shoonya_6s317OASXWMZB9, 5654390]
[paragraph, [68.0, 1154.0, 897.0, 36.0], shoonya_6s317OASXWMZB9, 5654390]
[paragraph, [54.0, 1206.0, 921.0, 36.0], shoonya_7s00G94IVCSTLJ, 5654390]
[paragraph, [54.0, 1242.0, 921.0, 36.0], shoonya_7s00G94IVCSTLJ, 5654390]
[paragraph, [54.0, 1278.0, 921.0, 36.0], shoonya_7s00G94IVCSTLJ, 5654390]
[paragraph, [57.0, 1336.0, 910.0, 36.0], shoonya_9s4FZNFHJD14LC, 5654390]
[paragraph, [57.0, 1372.0, 910.0, 36.0], shoonya_9s4FZNFHJD14LC, 5654390]
[paragraph, [57.0, 1408.0, 910.0, 36.0], shoonya_9s4FZNFHJD14LC, 5654390]
[paragraph, [57.0, 1444.0, 910.0, 36.0], shoonya_9s4FZNFHJD14LC, 5654390]
[paragraph, [161.0, 1511.0, 814.0, 36.0], mZHNLmScUo, 5654390]
