[2428, 1814]
[paragraph, [977.0, 160.0, 706.0, 36.0], shoonya_3sS2YXCTJX1QL0, 5694466]
[paragraph, [977.0, 196.0, 706.0, 36.0], shoonya_3sS2YXCTJX1QL0, 5694466]
[paragraph, [977.0, 232.0, 706.0, 36.0], shoonya_3sS2YXCTJX1QL0, 5694466]
[paragraph, [977.0, 268.0, 706.0, 36.0], shoonya_3sS2YXCTJX1QL0, 5694466]
[paragraph, [977.0, 304.0, 706.0, 36.0], shoonya_3sS2YXCTJX1QL0, 5694466]
[paragraph, [977.0, 340.0, 706.0, 36.0], shoonya_3sS2YXCTJX1QL0, 5694466]
[paragraph, [977.0, 376.0, 706.0, 36.0], shoonya_3sS2YXCTJX1QL0, 5694466]
[paragraph, [977.0, 412.0, 706.0, 36.0], shoonya_3sS2YXCTJX1QL0, 5694466]
[paragraph, [977.0, 448.0, 706.0, 36.0], shoonya_3sS2YXCTJX1QL0, 5694466]
[paragraph, [977.0, 484.0, 706.0, 36.0], shoonya_3sS2YXCTJX1QL0, 5694466]
[paragraph, [977.0, 520.0, 706.0, 36.0], shoonya_3sS2YXCTJX1QL0, 5694466]
[paragraph, [241.0, 163.0, 709.0, 36.0], shoonya_2sQ3TZ13JT7I7L, 5694466]
[paragraph, [241.0, 199.0, 709.0, 36.0], shoonya_2sQ3TZ13JT7I7L, 5694466]
[paragraph, [241.0, 235.0, 709.0, 36.0], shoonya_2sQ3TZ13JT7I7L, 5694466]
[paragraph, [241.0, 271.0, 709.0, 36.0], shoonya_2sQ3TZ13JT7I7L, 5694466]
[paragraph, [241.0, 307.0, 709.0, 36.0], shoonya_2sQ3TZ13JT7I7L, 5694466]
[paragraph, [241.0, 343.0, 709.0, 36.0], shoonya_2sQ3TZ13JT7I7L, 5694466]
[paragraph, [241.0, 379.0, 709.0, 36.0], shoonya_2sQ3TZ13JT7I7L, 5694466]
[paragraph, [241.0, 415.0, 709.0, 36.0], shoonya_2sQ3TZ13JT7I7L, 5694466]
[paragraph, [241.0, 451.0, 709.0, 36.0], shoonya_2sQ3TZ13JT7I7L, 5694466]
[paragraph, [241.0, 487.0, 709.0, 36.0], shoonya_2sQ3TZ13JT7I7L, 5694466]
[paragraph, [243.0, 550.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 586.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 622.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 658.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 694.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 730.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 766.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 802.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 838.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 874.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 910.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 946.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 982.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1018.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1054.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1090.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1126.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1162.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1198.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1234.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1270.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1306.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1342.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1378.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1414.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1450.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1486.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1522.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [243.0, 1558.0, 707.0, 36.0], shoonya_5sSLMC67IX4VXL, 5694466]
[paragraph, [979.0, 589.0, 703.0, 36.0], shoonya_4sT438627MZFK8, 5694466]
[paragraph, [979.0, 625.0, 703.0, 36.0], shoonya_4sT438627MZFK8, 5694466]
[paragraph, [979.0, 661.0, 703.0, 36.0], shoonya_4sT438627MZFK8, 5694466]
[paragraph, [979.0, 697.0, 703.0, 36.0], shoonya_4sT438627MZFK8, 5694466]
[paragraph, [979.0, 733.0, 703.0, 36.0], shoonya_4sT438627MZFK8, 5694466]
[paragraph, [979.0, 769.0, 703.0, 36.0], shoonya_4sT438627MZFK8, 5694466]
[paragraph, [979.0, 805.0, 703.0, 36.0], shoonya_4sT438627MZFK8, 5694466]
[paragraph, [979.0, 841.0, 703.0, 36.0], shoonya_4sT438627MZFK8, 5694466]
[paragraph, [979.0, 877.0, 703.0, 36.0], shoonya_4sT438627MZFK8, 5694466]
