[842, 595]
[website-link, [227.0, 20.0, 145.0, 18.0], OS6Plhpydf, 5739822]
[chapter-title, [259.0, 197.0, 77.0, 30.0], shoonya_3sIA4WZCNHHDRL, 5739822]
[author, [372.0, 231.0, 148.0, 18.0], h4UsA9u1nX, 5739822]
[paragraph, [75.0, 310.0, 446.0, 18.0], shoonya_0sYM9HKAG6OELY, 5739822]
[paragraph, [75.0, 328.0, 446.0, 18.0], shoonya_0sYM9HKAG6OELY, 5739822]
[paragraph, [75.0, 346.0, 446.0, 18.0], shoonya_0sYM9HKAG6OELY, 5739822]
[paragraph, [75.0, 364.0, 446.0, 18.0], shoonya_0sYM9HKAG6OELY, 5739822]
[paragraph, [75.0, 382.0, 446.0, 18.0], shoonya_0sYM9HKAG6OELY, 5739822]
[paragraph, [75.0, 400.0, 446.0, 18.0], shoonya_0sYM9HKAG6OELY, 5739822]
[paragraph, [75.0, 418.0, 446.0, 18.0], shoonya_0sYM9HKAG6OELY, 5739822]
[paragraph, [75.0, 436.0, 446.0, 18.0], shoonya_0sYM9HKAG6OELY, 5739822]
[paragraph, [75.0, 454.0, 446.0, 18.0], shoonya_0sYM9HKAG6OELY, 5739822]
[paragraph, [74.0, 478.0, 444.0, 18.0], shoonya_5sS6JMD6H7QEKT, 5739822]
[paragraph, [74.0, 496.0, 444.0, 18.0], shoonya_5sS6JMD6H7QEKT, 5739822]
[paragraph, [303.0, 571.0, 220.0, 18.0], 4NL6MtV9KM, 5739822]
[paragraph, [303.0, 589.0, 220.0, 18.0], 4NL6MtV9KM, 5739822]
[paragraph, [303.0, 607.0, 220.0, 18.0], 4NL6MtV9KM, 5739822]
[paragraph, [303.0, 625.0, 220.0, 18.0], 4NL6MtV9KM, 5739822]
[paragraph, [303.0, 643.0, 220.0, 18.0], 4NL6MtV9KM, 5739822]
[paragraph, [303.0, 661.0, 220.0, 18.0], 4NL6MtV9KM, 5739822]
[paragraph, [72.0, 590.0, 224.0, 18.0], shoonya_2sVCPLMB60UJA5, 5739822]
[paragraph, [72.0, 608.0, 224.0, 18.0], shoonya_2sVCPLMB60UJA5, 5739822]
[paragraph, [72.0, 626.0, 224.0, 18.0], shoonya_2sVCPLMB60UJA5, 5739822]
[paragraph, [73.0, 659.0, 222.0, 18.0], A-D7Kri859, 5739822]
[paragraph, [73.0, 677.0, 222.0, 18.0], A-D7Kri859, 5739822]
[paragraph, [75.0, 705.0, 165.0, 18.0], TY-pWXSjIH, 5739822]
[paragraph, [299.0, 705.0, 191.0, 18.0], dAcB0K9rfx, 5739822]
