[1754, 1241]
[paragraph, [113.0, 100.0, 1013.0, 36.0], QchifUAjYr, 5708683]
[paragraph, [113.0, 136.0, 1013.0, 36.0], QchifUAjYr, 5708683]
[ordered-list, [104.0, 205.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 241.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 277.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 313.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 349.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 385.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 421.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 457.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 493.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 529.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 565.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 601.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 637.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 673.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 709.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 745.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 781.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 817.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 853.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 889.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 925.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 961.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 997.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1033.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1069.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1105.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1141.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1177.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1213.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1249.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1285.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1321.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1357.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1393.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1429.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1465.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
[ordered-list, [104.0, 1501.0, 1028.0, 36.0], shoonya_0sTDKPACEA440Z, 5708683]
