[2339, 1653]
[paragraph, [234.0, 189.0, 1180.0, 36.0], shoonya_2s7TP1HX7M0Z1R, 5753347]
[paragraph, [234.0, 225.0, 1180.0, 36.0], shoonya_2s7TP1HX7M0Z1R, 5753347]
[paragraph, [234.0, 261.0, 1180.0, 36.0], shoonya_2s7TP1HX7M0Z1R, 5753347]
[paragraph, [234.0, 297.0, 1180.0, 36.0], shoonya_2s7TP1HX7M0Z1R, 5753347]
[paragraph, [509.0, 395.0, 490.0, 36.0], E2dTR0HIAC, 5753347]
[paragraph, [509.0, 431.0, 490.0, 36.0], E2dTR0HIAC, 5753347]
[paragraph, [509.0, 467.0, 490.0, 36.0], E2dTR0HIAC, 5753347]
[paragraph, [509.0, 503.0, 490.0, 36.0], E2dTR0HIAC, 5753347]
[paragraph, [509.0, 539.0, 490.0, 36.0], E2dTR0HIAC, 5753347]
[paragraph, [509.0, 575.0, 490.0, 36.0], E2dTR0HIAC, 5753347]
[paragraph, [509.0, 611.0, 490.0, 36.0], E2dTR0HIAC, 5753347]
[paragraph, [509.0, 647.0, 490.0, 36.0], E2dTR0HIAC, 5753347]
[paragraph, [509.0, 683.0, 490.0, 36.0], E2dTR0HIAC, 5753347]
[paragraph, [509.0, 719.0, 490.0, 36.0], E2dTR0HIAC, 5753347]
[paragraph, [509.0, 755.0, 490.0, 36.0], E2dTR0HIAC, 5753347]
[paragraph, [509.0, 791.0, 490.0, 36.0], E2dTR0HIAC, 5753347]
[paragraph, [235.0, 880.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 916.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 952.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 988.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1024.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1060.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1096.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1132.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1168.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1204.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1240.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1276.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1312.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1348.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1384.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1420.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [235.0, 1456.0, 1180.0, 36.0], shoonya_0sUSQY3SOXTWX1, 5753347]
[paragraph, [513.0, 1553.0, 433.0, 36.0], shoonya_5sSIK8LJXMKBXI, 5753347]
[paragraph, [513.0, 1589.0, 433.0, 36.0], shoonya_5sSIK8LJXMKBXI, 5753347]
[paragraph, [513.0, 1625.0, 433.0, 36.0], shoonya_5sSIK8LJXMKBXI, 5753347]
[paragraph, [513.0, 1661.0, 433.0, 36.0], shoonya_5sSIK8LJXMKBXI, 5753347]
[paragraph, [513.0, 1697.0, 433.0, 36.0], shoonya_5sSIK8LJXMKBXI, 5753347]
[paragraph, [513.0, 1733.0, 433.0, 36.0], shoonya_5sSIK8LJXMKBXI, 5753347]
[paragraph, [513.0, 1769.0, 433.0, 36.0], shoonya_5sSIK8LJXMKBXI, 5753347]
[paragraph, [513.0, 1805.0, 433.0, 36.0], shoonya_5sSIK8LJXMKBXI, 5753347]
[paragraph, [513.0, 1841.0, 433.0, 36.0], shoonya_5sSIK8LJXMKBXI, 5753347]
[paragraph, [513.0, 1877.0, 433.0, 36.0], shoonya_5sSIK8LJXMKBXI, 5753347]
[paragraph, [513.0, 1913.0, 433.0, 36.0], shoonya_5sSIK8LJXMKBXI, 5753347]
[paragraph, [513.0, 1949.0, 433.0, 36.0], shoonya_5sSIK8LJXMKBXI, 5753347]
[reference, [244.0, 2060.0, 478.0, 36.0], shoonya_1sX2PQAJCW19EQ, 5753347]
[reference, [244.0, 2096.0, 478.0, 36.0], shoonya_1sX2PQAJCW19EQ, 5753347]
