[972, 605]
[section-title, [88.0, 72.0, 449.0, 30.0], shoonya_1sWCZU36XLA55X, 5756595]
[ordered-list, [42.0, 122.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 140.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 158.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 176.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 194.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 212.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 230.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 248.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 266.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 284.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 302.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 320.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 338.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 356.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 374.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 392.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 410.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 428.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 446.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 464.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 482.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 500.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 518.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 536.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 554.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 572.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 590.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 608.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
[ordered-list, [42.0, 626.0, 516.0, 18.0], shoonya_2sXOPRUQ17PE6H, 5756595]
