[2339, 1654]
[folio, [1337.0, 55.0, 224.0, 36.0], shoonya_3sE3HVTLTTLFID, 5751381]
[paragraph, [128.0, 85.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 121.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 157.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 193.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 229.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 265.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 301.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 337.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 373.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 409.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 445.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 481.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 517.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 553.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 589.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 625.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 661.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 697.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 733.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 769.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 805.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 841.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 877.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 913.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 949.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 985.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 1021.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 1057.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 1093.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [128.0, 1129.0, 1431.0, 36.0], shoonya_1sOG9O2FZOEU8R, 5751381]
[paragraph, [112.0, 1189.0, 1427.0, 36.0], shoonya_0sRFB0GZS2IZNE, 5751381]
