[2717, 1772]
[folio, [751.0, 233.0, 217.0, 46.5], shoonya_1sQ2L5VJALB8SO, 5721132]
[paragraph, [214.0, 342.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 388.5, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 435.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 481.5, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 528.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 574.5, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 621.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 667.5, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 714.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 760.5, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 807.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 853.5, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 900.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 946.5, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 993.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 1039.5, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 1086.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 1132.5, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 1179.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 1225.5, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 1272.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 1318.5, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 1365.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 1411.5, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 1458.0, 1354.0, 46.5], shoonya_2s4HX8WVR5P1LM, 5721132]
[paragraph, [214.0, 1547.0, 1348.0, 46.5], jjPH8Szaoo, 5721132]
[paragraph, [214.0, 1593.5, 1348.0, 46.5], jjPH8Szaoo, 5721132]
[paragraph, [214.0, 1640.0, 1348.0, 46.5], jjPH8Szaoo, 5721132]
[paragraph, [214.0, 1686.5, 1348.0, 46.5], jjPH8Szaoo, 5721132]
[paragraph, [214.0, 1733.0, 1348.0, 46.5], jjPH8Szaoo, 5721132]
[paragraph, [214.0, 1779.5, 1348.0, 46.5], jjPH8Szaoo, 5721132]
[paragraph, [214.0, 1862.0, 1344.0, 46.5], Eyh66yH2mk, 5721132]
[paragraph, [214.0, 1908.5, 1344.0, 46.5], Eyh66yH2mk, 5721132]
[paragraph, [214.0, 1955.0, 1344.0, 46.5], Eyh66yH2mk, 5721132]
[paragraph, [214.0, 2001.5, 1344.0, 46.5], Eyh66yH2mk, 5721132]
[paragraph, [210.0, 2050.0, 1348.0, 46.5], pyubYP9VkQ, 5721132]
[paragraph, [210.0, 2096.5, 1348.0, 46.5], pyubYP9VkQ, 5721132]
[paragraph, [210.0, 2143.0, 1348.0, 46.5], pyubYP9VkQ, 5721132]
[paragraph, [210.0, 2189.5, 1348.0, 46.5], pyubYP9VkQ, 5721132]
[paragraph, [210.0, 2236.0, 1348.0, 46.5], pyubYP9VkQ, 5721132]
[paragraph, [210.0, 2282.5, 1348.0, 46.5], pyubYP9VkQ, 5721132]
[paragraph, [210.0, 2329.0, 1348.0, 46.5], pyubYP9VkQ, 5721132]
[paragraph, [210.0, 2375.5, 1348.0, 46.5], pyubYP9VkQ, 5721132]
[paragraph, [210.0, 2422.0, 1348.0, 46.5], pyubYP9VkQ, 5721132]
[paragraph, [210.0, 2468.5, 1348.0, 46.5], pyubYP9VkQ, 5721132]
