[2200, 1700]
[paragraph, [376.0, 84.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 120.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 156.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 192.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 228.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 264.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 300.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 336.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 372.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 408.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 444.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 480.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 516.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 552.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 588.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 624.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 660.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 696.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 732.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 768.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 804.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 840.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 876.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 912.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 948.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 984.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 1020.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 1056.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 1092.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 1128.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 1164.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 1200.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 1236.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 1272.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 1308.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 1344.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 1380.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [376.0, 1416.0, 1126.0, 36.0], shoonya_1sW7ROATX9ESE2, 5733827]
[paragraph, [373.0, 1470.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1506.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1542.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1578.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1614.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1650.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1686.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1722.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1758.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1794.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1830.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1866.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1902.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1938.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 1974.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
[paragraph, [373.0, 2010.0, 1135.0, 36.0], shoonya_0sEZQWKYF0VUCV, 5733827]
