[1241, 798]
[folio, [90.0, 65.0, 133.0, 18.0], shoonya_2sDKWYM45ZOO7F, 5702012]
[paragraph, [81.0, 116.0, 617.0, 18.0], 7t5VJWrz8l, 5702012]
[paragraph, [81.0, 134.0, 617.0, 18.0], 7t5VJWrz8l, 5702012]
[paragraph, [81.0, 152.0, 617.0, 18.0], 7t5VJWrz8l, 5702012]
[paragraph, [81.0, 170.0, 617.0, 18.0], 7t5VJWrz8l, 5702012]
[paragraph, [81.0, 188.0, 617.0, 18.0], 7t5VJWrz8l, 5702012]
[paragraph, [92.0, 234.0, 616.0, 18.0], IxV1r25krZ, 5702012]
[paragraph, [92.0, 252.0, 616.0, 18.0], IxV1r25krZ, 5702012]
[paragraph, [92.0, 270.0, 616.0, 18.0], IxV1r25krZ, 5702012]
[paragraph, [92.0, 288.0, 616.0, 18.0], IxV1r25krZ, 5702012]
[paragraph, [87.0, 319.0, 615.0, 18.0], gHT7w7XIzR, 5702012]
[paragraph, [87.0, 337.0, 615.0, 18.0], gHT7w7XIzR, 5702012]
[paragraph, [87.0, 355.0, 615.0, 18.0], gHT7w7XIzR, 5702012]
[paragraph, [87.0, 373.0, 615.0, 18.0], gHT7w7XIzR, 5702012]
[paragraph, [87.0, 391.0, 615.0, 18.0], gHT7w7XIzR, 5702012]
[paragraph, [87.0, 409.0, 615.0, 18.0], gHT7w7XIzR, 5702012]
[paragraph, [62.0, 446.0, 637.0, 18.0], kSs3W3SZyc, 5702012]
[paragraph, [62.0, 464.0, 637.0, 18.0], kSs3W3SZyc, 5702012]
[paragraph, [62.0, 482.0, 637.0, 18.0], kSs3W3SZyc, 5702012]
[paragraph, [62.0, 500.0, 637.0, 18.0], kSs3W3SZyc, 5702012]
[paragraph, [62.0, 518.0, 637.0, 18.0], kSs3W3SZyc, 5702012]
[paragraph, [62.0, 536.0, 637.0, 18.0], kSs3W3SZyc, 5702012]
[paragraph, [87.0, 571.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 589.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 607.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 625.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 643.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 661.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 679.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 697.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 715.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 733.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 751.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 769.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 787.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 805.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 823.0, 620.0, 18.0], shoonya_0sDB20EIKUI2RS, 5702012]
[paragraph, [87.0, 868.0, 615.0, 18.0], s6FTslUajg, 5702012]
[paragraph, [87.0, 886.0, 615.0, 18.0], s6FTslUajg, 5702012]
[paragraph, [87.0, 904.0, 615.0, 18.0], s6FTslUajg, 5702012]
[paragraph, [87.0, 922.0, 615.0, 18.0], s6FTslUajg, 5702012]
[paragraph, [86.0, 959.0, 621.0, 18.0], shoonya_3sR2VOX4JK2Z3Y, 5702012]
[paragraph, [86.0, 977.0, 621.0, 18.0], shoonya_3sR2VOX4JK2Z3Y, 5702012]
[paragraph, [86.0, 995.0, 621.0, 18.0], shoonya_3sR2VOX4JK2Z3Y, 5702012]
[paragraph, [86.0, 1013.0, 621.0, 18.0], shoonya_3sR2VOX4JK2Z3Y, 5702012]
[paragraph, [86.0, 1031.0, 621.0, 18.0], shoonya_3sR2VOX4JK2Z3Y, 5702012]
[paragraph, [86.0, 1049.0, 621.0, 18.0], shoonya_3sR2VOX4JK2Z3Y, 5702012]
[paragraph, [86.0, 1067.0, 621.0, 18.0], shoonya_3sR2VOX4JK2Z3Y, 5702012]
[paragraph, [86.0, 1085.0, 621.0, 18.0], shoonya_3sR2VOX4JK2Z3Y, 5702012]
[paragraph, [86.0, 1103.0, 621.0, 18.0], shoonya_3sR2VOX4JK2Z3Y, 5702012]
[paragraph, [86.0, 1121.0, 621.0, 18.0], shoonya_3sR2VOX4JK2Z3Y, 5702012]
[paragraph, [86.0, 1139.0, 621.0, 18.0], shoonya_3sR2VOX4JK2Z3Y, 5702012]
