[842, 595]
[paragraph, [300.0, 91.0, 242.0, 18.0], shoonya_1s2FRZNM673S8S, 5742315]
[paragraph, [300.0, 109.0, 242.0, 18.0], shoonya_1s2FRZNM673S8S, 5742315]
[paragraph, [300.0, 127.0, 242.0, 18.0], shoonya_1s2FRZNM673S8S, 5742315]
[paragraph, [300.0, 145.0, 242.0, 18.0], shoonya_1s2FRZNM673S8S, 5742315]
[paragraph, [300.0, 163.0, 242.0, 18.0], shoonya_1s2FRZNM673S8S, 5742315]
[paragraph, [300.0, 181.0, 242.0, 18.0], shoonya_1s2FRZNM673S8S, 5742315]
[paragraph, [300.0, 199.0, 242.0, 18.0], shoonya_1s2FRZNM673S8S, 5742315]
[paragraph, [300.0, 217.0, 242.0, 18.0], shoonya_1s2FRZNM673S8S, 5742315]
[paragraph, [300.0, 235.0, 242.0, 18.0], shoonya_1s2FRZNM673S8S, 5742315]
[paragraph, [300.0, 253.0, 242.0, 18.0], shoonya_1s2FRZNM673S8S, 5742315]
[paragraph, [302.0, 277.0, 241.0, 18.0], shoonya_0sT82O720Y0040, 5742315]
[paragraph, [302.0, 295.0, 241.0, 18.0], shoonya_0sT82O720Y0040, 5742315]
[paragraph, [302.0, 313.0, 241.0, 18.0], shoonya_0sT82O720Y0040, 5742315]
[paragraph, [302.0, 331.0, 241.0, 18.0], shoonya_0sT82O720Y0040, 5742315]
[paragraph, [302.0, 349.0, 241.0, 18.0], shoonya_0sT82O720Y0040, 5742315]
[paragraph, [302.0, 367.0, 241.0, 18.0], shoonya_0sT82O720Y0040, 5742315]
[paragraph, [302.0, 385.0, 241.0, 18.0], shoonya_0sT82O720Y0040, 5742315]
[paragraph, [302.0, 403.0, 241.0, 18.0], shoonya_0sT82O720Y0040, 5742315]
[paragraph, [302.0, 421.0, 241.0, 18.0], shoonya_0sT82O720Y0040, 5742315]
[contact-info, [158.0, 418.0, 123.0, 18.0], _8F4Xz3rbp, 5742315]
[paragraph, [301.0, 445.0, 241.0, 18.0], shoonya_5sJJ620R2FDR7R, 5742315]
[paragraph, [301.0, 463.0, 241.0, 18.0], shoonya_5sJJ620R2FDR7R, 5742315]
[paragraph, [301.0, 481.0, 241.0, 18.0], shoonya_5sJJ620R2FDR7R, 5742315]
[paragraph, [53.0, 511.0, 158.0, 18.0], shoonya_4s26XFJOOWO997, 5742315]
[paragraph, [53.0, 529.0, 158.0, 18.0], shoonya_4s26XFJOOWO997, 5742315]
[paragraph, [53.0, 547.0, 158.0, 18.0], shoonya_4s26XFJOOWO997, 5742315]
[paragraph, [53.0, 565.0, 158.0, 18.0], shoonya_4s26XFJOOWO997, 5742315]
[paragraph, [53.0, 583.0, 158.0, 18.0], shoonya_4s26XFJOOWO997, 5742315]
[paragraph, [53.0, 601.0, 158.0, 18.0], shoonya_4s26XFJOOWO997, 5742315]
[paragraph, [53.0, 619.0, 158.0, 18.0], shoonya_4s26XFJOOWO997, 5742315]
[paragraph, [53.0, 637.0, 158.0, 18.0], shoonya_4s26XFJOOWO997, 5742315]
[paragraph, [53.0, 655.0, 158.0, 18.0], shoonya_4s26XFJOOWO997, 5742315]
[paragraph, [53.0, 673.0, 158.0, 18.0], shoonya_4s26XFJOOWO997, 5742315]
[paragraph, [57.0, 692.0, 157.0, 18.0], shoonya_6sBHRZTIBFCE3U, 5742315]
[paragraph, [57.0, 710.0, 157.0, 18.0], shoonya_6sBHRZTIBFCE3U, 5742315]
[folio, [466.0, 747.0, 77.0, 18.0], gGQUopfdzN, 5742315]
