[1755, 1241]
[folio, [583.0, 221.0, 511.0, 36.0], shoonya_1sL7GYD8VDVMUU, 5759761]
[paragraph, [256.0, 296.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 332.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 368.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 404.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 440.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 476.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 512.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 548.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 584.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 620.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 656.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 692.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 728.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 764.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 800.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 836.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [256.0, 872.0, 850.0, 36.0], shoonya_3s0S4SMHGK5G3L, 5759761]
[paragraph, [352.0, 927.0, 642.0, 36.0], Dyf9ruy1tp, 5759761]
[paragraph, [352.0, 963.0, 642.0, 36.0], Dyf9ruy1tp, 5759761]
[paragraph, [352.0, 999.0, 642.0, 36.0], Dyf9ruy1tp, 5759761]
[paragraph, [352.0, 1035.0, 642.0, 36.0], Dyf9ruy1tp, 5759761]
[paragraph, [352.0, 1071.0, 642.0, 36.0], Dyf9ruy1tp, 5759761]
[paragraph, [352.0, 1107.0, 642.0, 36.0], Dyf9ruy1tp, 5759761]
[paragraph, [255.0, 1156.0, 840.0, 36.0], t2aBspbwqW, 5759761]
[paragraph, [255.0, 1192.0, 840.0, 36.0], t2aBspbwqW, 5759761]
[paragraph, [251.0, 1256.0, 848.0, 36.0], RTN400YlkB, 5759761]
[paragraph, [251.0, 1292.0, 848.0, 36.0], RTN400YlkB, 5759761]
[paragraph, [251.0, 1328.0, 848.0, 36.0], RTN400YlkB, 5759761]
[paragraph, [251.0, 1364.0, 848.0, 36.0], RTN400YlkB, 5759761]
[paragraph, [251.0, 1400.0, 848.0, 36.0], RTN400YlkB, 5759761]
[paragraph, [251.0, 1436.0, 848.0, 36.0], RTN400YlkB, 5759761]
[paragraph, [251.0, 1472.0, 848.0, 36.0], RTN400YlkB, 5759761]
[paragraph, [347.0, 1536.0, 631.0, 36.0], O14HuGjarY, 5759761]
[paragraph, [347.0, 1572.0, 631.0, 36.0], O14HuGjarY, 5759761]
