[690, 512]
[folio, [201.0, 40.0, 93.0, 18.0], FUITsBmMb4, 6492064]
[paragraph, [254.0, 65.0, 213.0, 18.0], U1_n2sjaJa, 6492064]
[paragraph, [31.0, 66.0, 211.0, 18.0], xFGdBswnpF, 6492064]
[paragraph, [29.0, 96.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 114.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 132.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 150.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 168.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 186.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 204.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 222.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 240.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 258.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 276.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 294.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 312.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 330.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 348.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 366.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 384.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 402.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 420.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 438.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 456.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 474.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 492.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [29.0, 510.0, 214.0, 18.0], aGu_B1CsaY, 6492064]
[paragraph, [257.0, 99.0, 209.0, 18.0], nMwihOko7l, 6492064]
[paragraph, [257.0, 117.0, 209.0, 18.0], nMwihOko7l, 6492064]
[paragraph, [257.0, 135.0, 209.0, 18.0], nMwihOko7l, 6492064]
[paragraph, [257.0, 153.0, 209.0, 18.0], nMwihOko7l, 6492064]
[paragraph, [257.0, 171.0, 209.0, 18.0], nMwihOko7l, 6492064]
[paragraph, [257.0, 189.0, 209.0, 18.0], nMwihOko7l, 6492064]
[paragraph, [257.0, 223.0, 216.0, 18.0], NZn1gqGf-n, 6492064]
[paragraph, [257.0, 241.0, 216.0, 18.0], NZn1gqGf-n, 6492064]
[paragraph, [257.0, 259.0, 216.0, 18.0], NZn1gqGf-n, 6492064]
[paragraph, [257.0, 277.0, 216.0, 18.0], NZn1gqGf-n, 6492064]
[paragraph, [257.0, 295.0, 216.0, 18.0], NZn1gqGf-n, 6492064]
[paragraph, [257.0, 313.0, 216.0, 18.0], NZn1gqGf-n, 6492064]
[paragraph, [256.0, 336.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 354.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 372.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 390.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 408.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 426.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 444.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 462.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 480.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 498.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 516.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 534.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 552.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [256.0, 570.0, 212.0, 18.0], kDvl_xsvfP, 6492064]
[paragraph, [30.0, 533.0, 210.0, 18.0], 63NRv7XgxZ, 6492064]
[paragraph, [24.0, 578.0, 220.0, 18.0], 4exyebCE7h, 6492064]
[paragraph, [24.0, 596.0, 220.0, 18.0], 4exyebCE7h, 6492064]
[paragraph, [24.0, 614.0, 220.0, 18.0], 4exyebCE7h, 6492064]
[paragraph, [259.0, 594.0, 205.0, 18.0], N7LQbHnvPc, 6492064]
[paragraph, [259.0, 612.0, 205.0, 18.0], N7LQbHnvPc, 6492064]
