[1806, 1262]
[paragraph, [656.0, 178.0, 505.0, 36.0], shoonya_6s2YA68FOW3K3K, 5680863]
[paragraph, [656.0, 214.0, 505.0, 36.0], shoonya_6s2YA68FOW3K3K, 5680863]
[paragraph, [656.0, 250.0, 505.0, 36.0], shoonya_6s2YA68FOW3K3K, 5680863]
[paragraph, [656.0, 286.0, 505.0, 36.0], shoonya_6s2YA68FOW3K3K, 5680863]
[paragraph, [97.0, 181.0, 502.0, 36.0], shoonya_5s1WR3CMQYJRW6, 5680863]
[paragraph, [97.0, 217.0, 502.0, 36.0], shoonya_5s1WR3CMQYJRW6, 5680863]
[paragraph, [97.0, 253.0, 502.0, 36.0], shoonya_5s1WR3CMQYJRW6, 5680863]
[paragraph, [97.0, 289.0, 502.0, 36.0], shoonya_5s1WR3CMQYJRW6, 5680863]
[paragraph, [657.0, 325.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 361.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 397.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 433.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 469.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 505.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 541.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 577.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 613.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 649.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 685.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 721.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 757.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 793.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 829.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 865.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 901.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [657.0, 937.0, 503.0, 36.0], shoonya_1sID2JZUU1MR9L, 5680863]
[paragraph, [102.0, 330.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [102.0, 366.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [102.0, 402.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [102.0, 438.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [102.0, 474.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [102.0, 510.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [102.0, 546.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [102.0, 582.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [102.0, 618.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [102.0, 654.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [102.0, 690.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [102.0, 726.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [102.0, 762.0, 499.0, 36.0], shoonya_2sPN25ITQ1O3PV, 5680863]
[paragraph, [103.0, 836.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 872.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 908.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 944.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 980.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 1016.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 1052.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 1088.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 1124.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 1160.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 1196.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 1232.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 1268.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [103.0, 1304.0, 497.0, 36.0], shoonya_0sVZBMYJN30H6T, 5680863]
[paragraph, [657.0, 987.0, 500.0, 36.0], shoonya_4sFFCRJAQTTTV5, 5680863]
[paragraph, [657.0, 1023.0, 500.0, 36.0], shoonya_4sFFCRJAQTTTV5, 5680863]
[paragraph, [657.0, 1059.0, 500.0, 36.0], shoonya_4sFFCRJAQTTTV5, 5680863]
[paragraph, [657.0, 1095.0, 500.0, 36.0], shoonya_4sFFCRJAQTTTV5, 5680863]
[paragraph, [657.0, 1131.0, 500.0, 36.0], shoonya_4sFFCRJAQTTTV5, 5680863]
[paragraph, [657.0, 1167.0, 500.0, 36.0], shoonya_4sFFCRJAQTTTV5, 5680863]
[paragraph, [657.0, 1203.0, 500.0, 36.0], shoonya_4sFFCRJAQTTTV5, 5680863]
[paragraph, [657.0, 1239.0, 500.0, 36.0], shoonya_4sFFCRJAQTTTV5, 5680863]
[paragraph, [657.0, 1275.0, 500.0, 36.0], shoonya_4sFFCRJAQTTTV5, 5680863]
[paragraph, [657.0, 1311.0, 500.0, 36.0], shoonya_4sFFCRJAQTTTV5, 5680863]
[paragraph, [657.0, 1347.0, 500.0, 36.0], shoonya_4sFFCRJAQTTTV5, 5680863]
[paragraph, [657.0, 1383.0, 500.0, 36.0], shoonya_4sFFCRJAQTTTV5, 5680863]
[paragraph, [104.0, 1347.0, 498.0, 36.0], shoonya_3s8YIOPE1ZFYVH, 5680863]
[paragraph, [104.0, 1383.0, 498.0, 36.0], shoonya_3s8YIOPE1ZFYVH, 5680863]
[paragraph, [104.0, 1419.0, 498.0, 36.0], shoonya_3s8YIOPE1ZFYVH, 5680863]
[paragraph, [104.0, 1455.0, 498.0, 36.0], shoonya_3s8YIOPE1ZFYVH, 5680863]
[paragraph, [104.0, 1491.0, 498.0, 36.0], shoonya_3s8YIOPE1ZFYVH, 5680863]
[paragraph, [104.0, 1527.0, 498.0, 36.0], shoonya_3s8YIOPE1ZFYVH, 5680863]
[paragraph, [104.0, 1563.0, 498.0, 36.0], shoonya_3s8YIOPE1ZFYVH, 5680863]
[paragraph, [104.0, 1599.0, 498.0, 36.0], shoonya_3s8YIOPE1ZFYVH, 5680863]
[paragraph, [104.0, 1635.0, 498.0, 36.0], shoonya_3s8YIOPE1ZFYVH, 5680863]
[paragraph, [655.0, 1455.0, 504.0, 36.0], mZ6Jadk9gb, 5680863]
[paragraph, [655.0, 1491.0, 504.0, 36.0], mZ6Jadk9gb, 5680863]
[paragraph, [655.0, 1527.0, 504.0, 36.0], mZ6Jadk9gb, 5680863]
[paragraph, [655.0, 1563.0, 504.0, 36.0], mZ6Jadk9gb, 5680863]
[paragraph, [655.0, 1599.0, 504.0, 36.0], mZ6Jadk9gb, 5680863]
[paragraph, [655.0, 1635.0, 504.0, 36.0], mZ6Jadk9gb, 5680863]
