[1755, 1240]
[paragraph, [215.0, 126.0, 889.0, 36.0], shoonya_1s53YTVW6NV7IA, 5693536]
[paragraph, [215.0, 162.0, 889.0, 36.0], shoonya_1s53YTVW6NV7IA, 5693536]
[paragraph, [215.0, 198.0, 889.0, 36.0], shoonya_1s53YTVW6NV7IA, 5693536]
[paragraph, [215.0, 234.0, 889.0, 36.0], shoonya_1s53YTVW6NV7IA, 5693536]
[paragraph, [215.0, 270.0, 889.0, 36.0], shoonya_1s53YTVW6NV7IA, 5693536]
[paragraph, [215.0, 306.0, 889.0, 36.0], shoonya_1s53YTVW6NV7IA, 5693536]
[paragraph, [215.0, 342.0, 889.0, 36.0], shoonya_1s53YTVW6NV7IA, 5693536]
[paragraph, [215.0, 378.0, 889.0, 36.0], shoonya_1s53YTVW6NV7IA, 5693536]
[paragraph, [208.0, 447.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 483.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 519.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 555.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 591.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 627.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 663.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 699.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 735.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 771.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 807.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 843.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 879.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 915.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 951.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 987.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 1023.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 1059.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 1095.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 1131.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 1167.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 1203.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [208.0, 1239.0, 907.0, 36.0], shoonya_0s1AJJ00OTGT0W, 5693536]
[paragraph, [214.0, 1333.0, 907.0, 36.0], shoonya_2sCDCQWU402OCV, 5693536]
[paragraph, [214.0, 1369.0, 907.0, 36.0], shoonya_2sCDCQWU402OCV, 5693536]
[paragraph, [214.0, 1405.0, 907.0, 36.0], shoonya_2sCDCQWU402OCV, 5693536]
[paragraph, [214.0, 1441.0, 907.0, 36.0], shoonya_2sCDCQWU402OCV, 5693536]
[paragraph, [214.0, 1477.0, 907.0, 36.0], shoonya_2sCDCQWU402OCV, 5693536]
[paragraph, [214.0, 1513.0, 907.0, 36.0], shoonya_2sCDCQWU402OCV, 5693536]
