[596, 421]
[section-title, [60.0, 31.0, 108.0, 30.0], -2hhyggC9O, 6533474]
[paragraph, [20.0, 71.0, 169.0, 18.0], utMklww_2T, 6533474]
[paragraph, [20.0, 89.0, 169.0, 18.0], utMklww_2T, 6533474]
[paragraph, [20.0, 107.0, 169.0, 18.0], utMklww_2T, 6533474]
[paragraph, [15.0, 136.0, 177.0, 18.0], 3x76aKYCGT, 6533474]
[paragraph, [15.0, 154.0, 177.0, 18.0], 3x76aKYCGT, 6533474]
[paragraph, [15.0, 172.0, 177.0, 18.0], 3x76aKYCGT, 6533474]
[paragraph, [209.0, 407.0, 149.0, 18.0], shoonya_0s1J9EZQAWU5DH, 6533474]
[paragraph, [209.0, 425.0, 149.0, 18.0], shoonya_0s1J9EZQAWU5DH, 6533474]
[paragraph, [209.0, 443.0, 149.0, 18.0], shoonya_0s1J9EZQAWU5DH, 6533474]
[paragraph, [208.0, 469.0, 142.0, 18.0], hCEhIcVF2t, 6533474]
[paragraph, [208.0, 487.0, 142.0, 18.0], hCEhIcVF2t, 6533474]
[paragraph, [208.0, 505.0, 142.0, 18.0], hCEhIcVF2t, 6533474]
