[595, 419]
[folio, [143.0, 31.0, 129.0, 18.0], -667MmbmRH, 6459855]
[paragraph, [72.0, 67.0, 215.0, 18.0], VUQJruoa5O, 6459855]
[paragraph, [72.0, 85.0, 215.0, 18.0], VUQJruoa5O, 6459855]
[paragraph, [72.0, 103.0, 215.0, 18.0], VUQJruoa5O, 6459855]
[paragraph, [72.0, 121.0, 215.0, 18.0], VUQJruoa5O, 6459855]
[paragraph, [72.0, 139.0, 215.0, 18.0], VUQJruoa5O, 6459855]
[paragraph, [72.0, 160.0, 241.0, 18.0], c-zdp-xHjW, 6459855]
[paragraph, [72.0, 178.0, 241.0, 18.0], c-zdp-xHjW, 6459855]
[paragraph, [72.0, 196.0, 241.0, 18.0], c-zdp-xHjW, 6459855]
[paragraph, [72.0, 214.0, 241.0, 18.0], c-zdp-xHjW, 6459855]
[paragraph, [72.0, 232.0, 241.0, 18.0], c-zdp-xHjW, 6459855]
[paragraph, [77.0, 247.0, 240.0, 18.0], jN-Vt-YGiU, 6459855]
[paragraph, [77.0, 265.0, 240.0, 18.0], jN-Vt-YGiU, 6459855]
[paragraph, [77.0, 283.0, 240.0, 18.0], jN-Vt-YGiU, 6459855]
[paragraph, [77.0, 301.0, 240.0, 18.0], jN-Vt-YGiU, 6459855]
[paragraph, [77.0, 319.0, 240.0, 18.0], jN-Vt-YGiU, 6459855]
[paragraph, [34.0, 337.0, 349.0, 18.0], shoonya_0sHAD8QURKAQPA, 6459855]
[paragraph, [34.0, 355.0, 349.0, 18.0], shoonya_0sHAD8QURKAQPA, 6459855]
[paragraph, [34.0, 373.0, 349.0, 18.0], shoonya_0sHAD8QURKAQPA, 6459855]
[paragraph, [34.0, 391.0, 349.0, 18.0], shoonya_0sHAD8QURKAQPA, 6459855]
[paragraph, [34.0, 409.0, 349.0, 18.0], shoonya_0sHAD8QURKAQPA, 6459855]
[paragraph, [34.0, 427.0, 349.0, 18.0], shoonya_0sHAD8QURKAQPA, 6459855]
[paragraph, [34.0, 445.0, 349.0, 18.0], shoonya_0sHAD8QURKAQPA, 6459855]
[paragraph, [34.0, 463.0, 349.0, 18.0], shoonya_0sHAD8QURKAQPA, 6459855]
[paragraph, [34.0, 481.0, 349.0, 18.0], shoonya_0sHAD8QURKAQPA, 6459855]
[paragraph, [33.0, 510.0, 349.0, 18.0], zD_CAgA5Qv, 6459855]
[paragraph, [33.0, 528.0, 349.0, 18.0], zD_CAgA5Qv, 6459855]
[paragraph, [33.0, 546.0, 349.0, 18.0], zD_CAgA5Qv, 6459855]
