[2339, 1653]
[paragraph, [247.0, 247.0, 1160.0, 36.0], shoonya_2sIJ2ISWOIUNT4, 5686538]
[paragraph, [247.0, 283.0, 1160.0, 36.0], shoonya_2sIJ2ISWOIUNT4, 5686538]
[paragraph, [247.0, 319.0, 1160.0, 36.0], shoonya_2sIJ2ISWOIUNT4, 5686538]
[paragraph, [247.0, 355.0, 1160.0, 36.0], shoonya_2sIJ2ISWOIUNT4, 5686538]
[paragraph, [247.0, 391.0, 1160.0, 36.0], shoonya_2sIJ2ISWOIUNT4, 5686538]
[section-title, [253.0, 523.0, 603.0, 52.5], shoonya_4s7CP0QJU30EVU, 5686538]
[paragraph, [250.0, 590.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 626.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 662.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 698.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 734.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 770.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 806.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 842.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 878.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 914.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 950.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 986.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1022.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1058.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1094.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1130.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1166.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1202.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1238.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1274.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1310.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1346.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1382.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1418.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1454.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [250.0, 1490.0, 1150.0, 36.0], shoonya_1sR20DE6IP1Y6T, 5686538]
[paragraph, [249.0, 1563.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
[paragraph, [249.0, 1599.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
[paragraph, [249.0, 1635.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
[paragraph, [249.0, 1671.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
[paragraph, [249.0, 1707.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
[paragraph, [249.0, 1743.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
[paragraph, [249.0, 1779.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
[paragraph, [249.0, 1815.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
[paragraph, [249.0, 1851.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
[paragraph, [249.0, 1887.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
[paragraph, [249.0, 1923.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
[paragraph, [249.0, 1959.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
[paragraph, [249.0, 1995.0, 1154.0, 36.0], shoonya_0sGMQPVO6BUZSP, 5686538]
