[1755, 1240]
[placeholder-text, [666.0, 175.0, 458.0, 18.0], shoonya_0sX38D05PEGWP6, 5773186]
[placeholder-text, [666.0, 193.0, 458.0, 18.0], shoonya_0sX38D05PEGWP6, 5773186]
[placeholder-text, [98.0, 214.0, 499.0, 18.0], shoonya_14sRGOL33OJ0Y8, 5773186]
[placeholder-text, [98.0, 232.0, 499.0, 18.0], shoonya_14sRGOL33OJ0Y8, 5773186]
[placeholder-text, [661.0, 224.0, 459.0, 18.0], shoonya_4sCLVULF2P6KWV, 5773186]
[placeholder-text, [661.0, 242.0, 459.0, 18.0], shoonya_4sCLVULF2P6KWV, 5773186]
[placeholder-text, [661.0, 260.0, 459.0, 18.0], shoonya_4sCLVULF2P6KWV, 5773186]
[placeholder-text, [661.0, 278.0, 459.0, 18.0], shoonya_4sCLVULF2P6KWV, 5773186]
[placeholder-text, [146.0, 254.0, 449.0, 18.0], UiyEW_cct-, 5773186]
[placeholder-text, [146.0, 272.0, 449.0, 18.0], UiyEW_cct-, 5773186]
[placeholder-text, [105.0, 278.0, 498.0, 18.0], qsmVVDOEWz, 5773186]
[placeholder-text, [105.0, 296.0, 498.0, 18.0], qsmVVDOEWz, 5773186]
[placeholder-text, [655.0, 298.0, 472.0, 18.0], shoonya_1s47VXEGGUCJ60, 5773186]
[placeholder-text, [655.0, 316.0, 472.0, 18.0], shoonya_1s47VXEGGUCJ60, 5773186]
[placeholder-text, [655.0, 334.0, 472.0, 18.0], shoonya_1s47VXEGGUCJ60, 5773186]
[placeholder-text, [138.0, 313.0, 467.0, 18.0], aT0-CLeIMw, 5773186]
[placeholder-text, [138.0, 331.0, 467.0, 18.0], aT0-CLeIMw, 5773186]
[placeholder-text, [656.0, 363.0, 279.0, 18.0], shoonya_3sKGQ23S5SC8P6, 5773186]
[placeholder-text, [656.0, 381.0, 279.0, 18.0], shoonya_3sKGQ23S5SC8P6, 5773186]
[folio, [532.0, 408.0, 153.0, 36.0], 1bl3S_uid1, 5773186]
[folio, [532.0, 444.0, 153.0, 36.0], 1bl3S_uid1, 5773186]
[sidebar, [868.0, 422.0, 270.0, 36.0], rcHth_nin0, 5773186]
[sidebar, [91.0, 425.0, 214.0, 36.0], yLvrDlpG2R, 5773186]
[sidebar, [94.0, 501.0, 396.0, 36.0], EerfwKeUpk, 5773186]
[ordered-list, [614.0, 573.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 609.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 645.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 681.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 717.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 753.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 789.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 825.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 861.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 897.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 933.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 969.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1005.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1041.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1077.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1113.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1149.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1185.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1221.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1257.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1293.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1329.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1365.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1401.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1437.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1473.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [614.0, 1509.0, 514.0, 36.0], shoonya_16sKZZ6CKCBML4, 5773186]
[ordered-list, [112.0, 574.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 610.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 646.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 682.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 718.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 754.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 790.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 826.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 862.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 898.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 934.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 970.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1006.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1042.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1078.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1114.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1150.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1186.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1222.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1258.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1294.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1330.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1366.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1402.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1438.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1474.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[ordered-list, [112.0, 1510.0, 501.0, 36.0], shoonya_24sFPOFUMQ1CMJ, 5773186]
[sub-ordered-list, [649.0, 689.0, 471.0, 36.0], shoonya_19sOFDLMGDXRLK, 5773186]
[sub-ordered-list, [649.0, 725.0, 471.0, 36.0], shoonya_19sOFDLMGDXRLK, 5773186]
[sub-ordered-list, [649.0, 761.0, 471.0, 36.0], shoonya_19sOFDLMGDXRLK, 5773186]
[sub-ordered-list, [649.0, 797.0, 471.0, 36.0], shoonya_19sOFDLMGDXRLK, 5773186]
[sub-ordered-list, [649.0, 833.0, 471.0, 36.0], shoonya_19sOFDLMGDXRLK, 5773186]
[sub-ordered-list, [649.0, 869.0, 471.0, 36.0], shoonya_19sOFDLMGDXRLK, 5773186]
[sub-ordered-list, [649.0, 905.0, 471.0, 36.0], shoonya_19sOFDLMGDXRLK, 5773186]
[sub-ordered-list, [649.0, 941.0, 471.0, 36.0], shoonya_19sOFDLMGDXRLK, 5773186]
[sub-ordered-list, [649.0, 977.0, 471.0, 36.0], shoonya_19sOFDLMGDXRLK, 5773186]
[sub-ordered-list, [141.0, 707.0, 469.0, 36.0], shoonya_5sH0P48U6N2MCZ, 5773186]
[sub-ordered-list, [141.0, 743.0, 469.0, 36.0], shoonya_5sH0P48U6N2MCZ, 5773186]
[sub-ordered-list, [141.0, 779.0, 469.0, 36.0], shoonya_5sH0P48U6N2MCZ, 5773186]
[sub-ordered-list, [141.0, 815.0, 469.0, 36.0], shoonya_5sH0P48U6N2MCZ, 5773186]
[sub-ordered-list, [141.0, 851.0, 469.0, 36.0], shoonya_5sH0P48U6N2MCZ, 5773186]
[sub-ordered-list, [141.0, 887.0, 469.0, 36.0], shoonya_5sH0P48U6N2MCZ, 5773186]
[sub-ordered-list, [141.0, 923.0, 469.0, 36.0], shoonya_5sH0P48U6N2MCZ, 5773186]
[sub-ordered-list, [141.0, 959.0, 469.0, 36.0], shoonya_5sH0P48U6N2MCZ, 5773186]
[sub-ordered-list, [141.0, 995.0, 469.0, 36.0], shoonya_5sH0P48U6N2MCZ, 5773186]
[folio, [114.0, 1546.0, 116.0, 36.0], LO2Cv0ugcb, 5773186]
