[515, 727]
[chapter-title, [439.0, 17.0, 150.0, 30.0], PGWOnWzdJ4, 6534007]
[section-title, [182.0, 42.0, 165.0, 30.0], 2IdpFDIgAe, 6534007]
[index, [134.0, 85.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 103.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 121.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 139.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 157.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 175.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 193.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 211.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 229.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 247.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 265.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 283.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 301.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 319.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 337.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 355.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[index, [134.0, 373.0, 250.0, 18.0], pgnHRMc6wM, 6534007]
[paragraph, [137.0, 392.0, 94.0, 18.0], e5MnGNliF4, 6534007]
[paragraph, [166.0, 406.0, 182.0, 18.0], luRHJnlj35, 6534007]
[author, [581.0, 410.0, 84.0, 18.0], i9kUq0JQ31, 6534007]
[paragraph, [206.0, 435.0, 106.0, 18.0], ijPwlrPOUS, 6534007]
[paragraph, [461.0, 452.0, 152.0, 18.0], shoonya_0sQKHNJSDDJYHE, 6534007]
[paragraph, [461.0, 470.0, 152.0, 18.0], shoonya_0sQKHNJSDDJYHE, 6534007]
[footnote, [176.0, 457.0, 165.0, 18.0], 2vH5Hddw6e, 6534007]
