[842, 596]
[section-title, [39.0, 53.0, 418.0, 30.0], 1ap8R2jvhy, 5715839]
[paragraph, [86.0, 115.0, 447.0, 18.0], shoonya_1sJ7UKCCQC2RP5, 5715839]
[paragraph, [86.0, 133.0, 447.0, 18.0], shoonya_1sJ7UKCCQC2RP5, 5715839]
[paragraph, [86.0, 151.0, 447.0, 18.0], shoonya_1sJ7UKCCQC2RP5, 5715839]
[paragraph, [86.0, 169.0, 447.0, 18.0], shoonya_1sJ7UKCCQC2RP5, 5715839]
[paragraph, [86.0, 187.0, 447.0, 18.0], shoonya_1sJ7UKCCQC2RP5, 5715839]
[paragraph, [82.0, 209.0, 455.0, 18.0], b7_uzh8s-I, 5715839]
[paragraph, [82.0, 227.0, 455.0, 18.0], b7_uzh8s-I, 5715839]
[paragraph, [82.0, 245.0, 455.0, 18.0], b7_uzh8s-I, 5715839]
[paragraph, [82.0, 263.0, 455.0, 18.0], b7_uzh8s-I, 5715839]
[paragraph, [82.0, 281.0, 455.0, 18.0], b7_uzh8s-I, 5715839]
[paragraph, [82.0, 299.0, 455.0, 18.0], b7_uzh8s-I, 5715839]
[paragraph, [82.0, 317.0, 455.0, 18.0], b7_uzh8s-I, 5715839]
[paragraph, [82.0, 335.0, 455.0, 18.0], b7_uzh8s-I, 5715839]
[paragraph, [82.0, 353.0, 455.0, 18.0], b7_uzh8s-I, 5715839]
[paragraph, [82.0, 371.0, 455.0, 18.0], b7_uzh8s-I, 5715839]
[paragraph, [116.0, 443.0, 413.0, 18.0], 9j_CUHQ4DE, 5715839]
[paragraph, [116.0, 461.0, 413.0, 18.0], 9j_CUHQ4DE, 5715839]
[paragraph, [116.0, 479.0, 413.0, 18.0], 9j_CUHQ4DE, 5715839]
[paragraph, [116.0, 497.0, 413.0, 18.0], 9j_CUHQ4DE, 5715839]
[paragraph, [117.0, 532.0, 415.0, 18.0], D2HO4dsj6j, 5715839]
[paragraph, [117.0, 550.0, 415.0, 18.0], D2HO4dsj6j, 5715839]
[paragraph, [117.0, 568.0, 415.0, 18.0], D2HO4dsj6j, 5715839]
[paragraph, [117.0, 586.0, 415.0, 18.0], D2HO4dsj6j, 5715839]
[paragraph, [117.0, 604.0, 415.0, 18.0], D2HO4dsj6j, 5715839]
[paragraph, [114.0, 630.0, 422.0, 18.0], wq7eEMP2To, 5715839]
[paragraph, [114.0, 648.0, 422.0, 18.0], wq7eEMP2To, 5715839]
[paragraph, [114.0, 666.0, 422.0, 18.0], wq7eEMP2To, 5715839]
[paragraph, [104.0, 718.0, 432.0, 18.0], shoonya_5sO661SXXSNTY0, 5715839]
[paragraph, [104.0, 736.0, 432.0, 18.0], shoonya_5sO661SXXSNTY0, 5715839]
[folio, [392.0, 784.0, 128.0, 18.0], n-0BAzhGzc, 5715839]
