[1275, 1650]
[folio, [195.0, 121.0, 579.0, 18.0], bQ1yALby3S, 5764993]
[folio, [195.0, 139.0, 579.0, 18.0], bQ1yALby3S, 5764993]
[folio, [195.0, 157.0, 579.0, 18.0], bQ1yALby3S, 5764993]
[folio, [195.0, 175.0, 579.0, 18.0], bQ1yALby3S, 5764993]
[folio, [195.0, 193.0, 579.0, 18.0], bQ1yALby3S, 5764993]
[folio, [195.0, 211.0, 579.0, 18.0], bQ1yALby3S, 5764993]
[folio, [195.0, 229.0, 579.0, 18.0], bQ1yALby3S, 5764993]
[folio, [195.0, 247.0, 579.0, 18.0], bQ1yALby3S, 5764993]
[folio, [195.0, 265.0, 579.0, 18.0], bQ1yALby3S, 5764993]
[folio, [195.0, 283.0, 579.0, 18.0], bQ1yALby3S, 5764993]
[folio, [195.0, 301.0, 579.0, 18.0], bQ1yALby3S, 5764993]
[second-level-question, [864.0, 169.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 187.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 205.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 223.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 241.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 259.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 277.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 295.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 313.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 331.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 349.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 367.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 385.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[second-level-question, [864.0, 403.0, 723.0, 18.0], fkR6GCXfoY, 5764993]
[sidebar, [76.0, 319.0, 150.0, 18.0], KfmC6TFn9o, 5764993]
[sidebar, [565.0, 323.0, 218.0, 18.0], wvv_r70Lp1, 5764993]
[sidebar, [649.0, 358.0, 136.0, 18.0], CnP1Wk3Uhr, 5764993]
[sidebar, [649.0, 376.0, 136.0, 18.0], CnP1Wk3Uhr, 5764993]
[second-level-question, [78.0, 404.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 422.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 440.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 458.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 476.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 494.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 512.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 530.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 548.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 566.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 584.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 602.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 620.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 638.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 656.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 674.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 692.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 710.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 728.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
[second-level-question, [78.0, 746.0, 732.0, 18.0], Ak80H3M7PI, 5764993]
