[1755, 1241]
[folio, [153.0, 167.0, 271.0, 36.0], OhBtHp-cVn, 5759660]
[paragraph, [147.0, 244.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [147.0, 280.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [147.0, 316.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [147.0, 352.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [147.0, 388.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [147.0, 424.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [147.0, 460.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [147.0, 496.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [147.0, 532.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [147.0, 568.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [147.0, 604.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [147.0, 640.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [147.0, 676.0, 862.0, 36.0], shoonya_0sS43IBB8HSY50, 5759660]
[paragraph, [144.0, 741.0, 859.0, 36.0], shoonya_2sKL3M9KPRT4UR, 5759660]
[paragraph, [144.0, 777.0, 859.0, 36.0], shoonya_2sKL3M9KPRT4UR, 5759660]
[paragraph, [144.0, 813.0, 859.0, 36.0], shoonya_2sKL3M9KPRT4UR, 5759660]
[paragraph, [139.0, 890.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 926.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 962.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 998.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 1034.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 1070.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 1106.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 1142.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 1178.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 1214.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 1250.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 1286.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 1322.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 1358.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [139.0, 1394.0, 862.0, 36.0], NDFGlmb1Bi, 5759660]
[paragraph, [138.0, 1471.0, 857.0, 36.0], 4Rw3dEDNtJ, 5759660]
[paragraph, [138.0, 1507.0, 857.0, 36.0], 4Rw3dEDNtJ, 5759660]
