[2200, 1700]
[paragraph, [372.0, 117.0, 1134.0, 36.0], shoonya_2s3JD4OZ6FPO3D, 5733506]
[paragraph, [372.0, 153.0, 1134.0, 36.0], shoonya_2s3JD4OZ6FPO3D, 5733506]
[paragraph, [372.0, 189.0, 1134.0, 36.0], shoonya_2s3JD4OZ6FPO3D, 5733506]
[paragraph, [372.0, 225.0, 1134.0, 36.0], shoonya_2s3JD4OZ6FPO3D, 5733506]
[paragraph, [372.0, 261.0, 1134.0, 36.0], shoonya_2s3JD4OZ6FPO3D, 5733506]
[paragraph, [372.0, 297.0, 1134.0, 36.0], shoonya_2s3JD4OZ6FPO3D, 5733506]
[paragraph, [372.0, 356.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 392.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 428.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 464.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 500.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 536.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 572.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 608.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 644.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 680.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 716.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 752.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 788.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 824.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[paragraph, [372.0, 860.0, 1134.0, 36.0], shoonya_0sQOKMCXG3XLDW, 5733506]
[section-title, [369.0, 934.0, 865.0, 52.5], UnLiOB3lSk, 5733506]
[unordered-list, [418.0, 996.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1032.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1068.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1104.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1140.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1176.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1212.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1248.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1284.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1320.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1356.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1392.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1428.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1464.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1500.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1536.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1572.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1608.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1644.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1680.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1716.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1752.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1788.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1824.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1860.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1896.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1932.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 1968.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 2004.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
[unordered-list, [418.0, 2040.0, 1088.0, 36.0], shoonya_1sKG2RSYQGAPFC, 5733506]
