[1518, 1075]
[folio, [552.0, 112.0, 84.0, 36.0], 0NuQoGJ80q, 5722449]
[paragraph, [559.0, 167.0, 428.0, 36.0], shoonya_7sUO8IX5XO3XFR, 5722449]
[paragraph, [559.0, 203.0, 428.0, 36.0], shoonya_7sUO8IX5XO3XFR, 5722449]
[paragraph, [559.0, 239.0, 428.0, 36.0], shoonya_7sUO8IX5XO3XFR, 5722449]
[paragraph, [559.0, 275.0, 428.0, 36.0], shoonya_7sUO8IX5XO3XFR, 5722449]
[paragraph, [114.0, 173.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [114.0, 209.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [114.0, 245.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [114.0, 281.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [114.0, 317.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [114.0, 353.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [114.0, 389.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [114.0, 425.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [114.0, 461.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [114.0, 497.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [114.0, 533.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [114.0, 569.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [114.0, 605.0, 426.0, 36.0], shoonya_0s59YCIWZUDBAB, 5722449]
[paragraph, [560.0, 338.0, 427.0, 36.0], wrx-WKNaz1, 5722449]
[paragraph, [560.0, 374.0, 427.0, 36.0], wrx-WKNaz1, 5722449]
[paragraph, [560.0, 410.0, 427.0, 36.0], wrx-WKNaz1, 5722449]
[paragraph, [560.0, 446.0, 427.0, 36.0], wrx-WKNaz1, 5722449]
[paragraph, [560.0, 482.0, 427.0, 36.0], wrx-WKNaz1, 5722449]
[paragraph, [560.0, 518.0, 427.0, 36.0], wrx-WKNaz1, 5722449]
[paragraph, [560.0, 554.0, 427.0, 36.0], wrx-WKNaz1, 5722449]
[paragraph, [553.0, 613.0, 439.0, 36.0], QVyFQDdSk9, 5722449]
[paragraph, [553.0, 649.0, 439.0, 36.0], QVyFQDdSk9, 5722449]
[paragraph, [553.0, 685.0, 439.0, 36.0], QVyFQDdSk9, 5722449]
[paragraph, [553.0, 721.0, 439.0, 36.0], QVyFQDdSk9, 5722449]
[paragraph, [553.0, 757.0, 439.0, 36.0], QVyFQDdSk9, 5722449]
[paragraph, [553.0, 793.0, 439.0, 36.0], QVyFQDdSk9, 5722449]
[paragraph, [553.0, 829.0, 439.0, 36.0], QVyFQDdSk9, 5722449]
[paragraph, [553.0, 865.0, 439.0, 36.0], QVyFQDdSk9, 5722449]
[paragraph, [114.0, 693.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 729.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 765.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 801.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 837.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 873.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 909.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 945.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 981.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 1017.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 1053.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 1089.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 1125.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 1161.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 1197.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 1233.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [114.0, 1269.0, 426.0, 36.0], shoonya_1sADBDPVQ8V2TM, 5722449]
[paragraph, [559.0, 947.0, 426.0, 36.0], shoonya_2sHKJQ81YU0NGK, 5722449]
[paragraph, [559.0, 983.0, 426.0, 36.0], shoonya_2sHKJQ81YU0NGK, 5722449]
[paragraph, [559.0, 1019.0, 426.0, 36.0], shoonya_2sHKJQ81YU0NGK, 5722449]
[paragraph, [559.0, 1055.0, 426.0, 36.0], shoonya_2sHKJQ81YU0NGK, 5722449]
[paragraph, [559.0, 1091.0, 426.0, 36.0], shoonya_2sHKJQ81YU0NGK, 5722449]
[paragraph, [559.0, 1127.0, 426.0, 36.0], shoonya_2sHKJQ81YU0NGK, 5722449]
[paragraph, [554.0, 1226.0, 431.0, 36.0], shoonya_6sJKRAP1FMEZYJ, 5722449]
[paragraph, [554.0, 1262.0, 431.0, 36.0], shoonya_6sJKRAP1FMEZYJ, 5722449]
[folio, [245.0, 1333.0, 603.0, 36.0], ZOHGy3ZIrv, 5722449]
[folio, [196.0, 1383.0, 435.0, 36.0], shoonya_9s3X7ELSNWWROA, 5722449]
[folio, [196.0, 1419.0, 435.0, 36.0], shoonya_9s3X7ELSNWWROA, 5722449]
