[2339, 1653]
[paragraph, [384.0, 187.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 223.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 259.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 295.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 331.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 367.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 403.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 439.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 475.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 511.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 547.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 583.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 619.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 655.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 691.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 727.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 763.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 799.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 835.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 871.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 907.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 943.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 979.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 1015.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 1051.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 1087.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 1123.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 1159.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 1195.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [384.0, 1231.0, 1076.0, 36.0], shoonya_1s5PYGFWVQ6S7O, 5734030]
[paragraph, [389.0, 1281.0, 1074.0, 36.0], shoonya_2s0FRS52IDMRYQ, 5734030]
[paragraph, [389.0, 1317.0, 1074.0, 36.0], shoonya_2s0FRS52IDMRYQ, 5734030]
[paragraph, [389.0, 1353.0, 1074.0, 36.0], shoonya_2s0FRS52IDMRYQ, 5734030]
[paragraph, [389.0, 1389.0, 1074.0, 36.0], shoonya_2s0FRS52IDMRYQ, 5734030]
[paragraph, [389.0, 1425.0, 1074.0, 36.0], shoonya_2s0FRS52IDMRYQ, 5734030]
[paragraph, [389.0, 1461.0, 1074.0, 36.0], shoonya_2s0FRS52IDMRYQ, 5734030]
[paragraph, [389.0, 1497.0, 1074.0, 36.0], shoonya_2s0FRS52IDMRYQ, 5734030]
[paragraph, [389.0, 1533.0, 1074.0, 36.0], shoonya_2s0FRS52IDMRYQ, 5734030]
[paragraph, [389.0, 1569.0, 1074.0, 36.0], shoonya_2s0FRS52IDMRYQ, 5734030]
[paragraph, [389.0, 1605.0, 1074.0, 36.0], shoonya_2s0FRS52IDMRYQ, 5734030]
[paragraph, [389.0, 1641.0, 1074.0, 36.0], shoonya_2s0FRS52IDMRYQ, 5734030]
[paragraph, [389.0, 1677.0, 1074.0, 36.0], shoonya_2s0FRS52IDMRYQ, 5734030]
[paragraph, [391.0, 1734.0, 1070.0, 36.0], shoonya_0s3CODDZ34UYUO, 5734030]
[paragraph, [391.0, 1770.0, 1070.0, 36.0], shoonya_0s3CODDZ34UYUO, 5734030]
[paragraph, [391.0, 1806.0, 1070.0, 36.0], shoonya_0s3CODDZ34UYUO, 5734030]
[paragraph, [391.0, 1842.0, 1070.0, 36.0], shoonya_0s3CODDZ34UYUO, 5734030]
[paragraph, [391.0, 1878.0, 1070.0, 36.0], shoonya_0s3CODDZ34UYUO, 5734030]
[paragraph, [391.0, 1914.0, 1070.0, 36.0], shoonya_0s3CODDZ34UYUO, 5734030]
[paragraph, [391.0, 1950.0, 1070.0, 36.0], shoonya_0s3CODDZ34UYUO, 5734030]
[paragraph, [391.0, 1986.0, 1070.0, 36.0], shoonya_0s3CODDZ34UYUO, 5734030]
[paragraph, [391.0, 2022.0, 1070.0, 36.0], shoonya_0s3CODDZ34UYUO, 5734030]
[paragraph, [391.0, 2058.0, 1070.0, 36.0], shoonya_0s3CODDZ34UYUO, 5734030]
[folio, [1188.0, 2183.0, 230.0, 36.0], shoonya_3s4XIIYHVO2BJ0, 5734030]
