[1951, 1219]
[folio, [757.0, 119.0, 219.0, 36.0], shoonya_0sME0OVZTY5FYP, 5682971]
[paragraph, [132.0, 212.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 248.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 284.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 320.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 356.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 392.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 428.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 464.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 500.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 536.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 572.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 608.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 644.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [132.0, 680.0, 960.0, 36.0], aFgKKiYR2z, 5682971]
[paragraph, [126.0, 735.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 771.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 807.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 843.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 879.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 915.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 951.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 987.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1023.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1059.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1095.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1131.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1167.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1203.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1239.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1275.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1311.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1347.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1383.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1419.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1455.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1491.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1527.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1563.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1599.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1635.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1671.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1707.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1743.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
[paragraph, [126.0, 1779.0, 964.0, 36.0], y5zhwMAwvW, 5682971]
