[842, 596]
[section-title, [50.0, 50.0, 500.0, 30.0], RaPpd7NByp, 6490695]
[section-title, [50.0, 80.0, 500.0, 30.0], RaPpd7NByp, 6490695]
[paragraph, [48.0, 127.0, 492.0, 18.0], 3LUlTqbQnH, 6490695]
[paragraph, [48.0, 145.0, 492.0, 18.0], 3LUlTqbQnH, 6490695]
[paragraph, [48.0, 163.0, 492.0, 18.0], 3LUlTqbQnH, 6490695]
[paragraph, [48.0, 181.0, 492.0, 18.0], 3LUlTqbQnH, 6490695]
[paragraph, [48.0, 199.0, 492.0, 18.0], 3LUlTqbQnH, 6490695]
[paragraph, [48.0, 217.0, 492.0, 18.0], 3LUlTqbQnH, 6490695]
[paragraph, [48.0, 235.0, 492.0, 18.0], 3LUlTqbQnH, 6490695]
[paragraph, [48.0, 253.0, 492.0, 18.0], 3LUlTqbQnH, 6490695]
[paragraph, [48.0, 271.0, 492.0, 18.0], 3LUlTqbQnH, 6490695]
[paragraph, [55.0, 477.0, 492.0, 18.0], s4HEBy40H9, 6490695]
[paragraph, [55.0, 495.0, 492.0, 18.0], s4HEBy40H9, 6490695]
[paragraph, [55.0, 513.0, 492.0, 18.0], s4HEBy40H9, 6490695]
[paragraph, [55.0, 531.0, 492.0, 18.0], s4HEBy40H9, 6490695]
[paragraph, [55.0, 549.0, 492.0, 18.0], s4HEBy40H9, 6490695]
[paragraph, [55.0, 567.0, 492.0, 18.0], s4HEBy40H9, 6490695]
