[1387, 987]
[paragraph, [89.0, 98.0, 791.0, 18.0], shoonya_0s6S2E999VRW3P, 5651482]
[paragraph, [89.0, 116.0, 791.0, 18.0], shoonya_0s6S2E999VRW3P, 5651482]
[paragraph, [89.0, 134.0, 791.0, 18.0], shoonya_0s6S2E999VRW3P, 5651482]
[paragraph, [89.0, 152.0, 791.0, 18.0], shoonya_0s6S2E999VRW3P, 5651482]
[paragraph, [89.0, 170.0, 791.0, 18.0], shoonya_0s6S2E999VRW3P, 5651482]
[paragraph, [89.0, 188.0, 791.0, 18.0], shoonya_0s6S2E999VRW3P, 5651482]
[paragraph, [89.0, 206.0, 791.0, 18.0], shoonya_0s6S2E999VRW3P, 5651482]
[paragraph, [89.0, 224.0, 791.0, 18.0], shoonya_0s6S2E999VRW3P, 5651482]
[paragraph, [89.0, 242.0, 791.0, 18.0], shoonya_0s6S2E999VRW3P, 5651482]
[paragraph, [89.0, 260.0, 791.0, 18.0], shoonya_0s6S2E999VRW3P, 5651482]
[paragraph, [89.0, 278.0, 791.0, 18.0], shoonya_0s6S2E999VRW3P, 5651482]
[paragraph, [89.0, 296.0, 791.0, 18.0], shoonya_0s6S2E999VRW3P, 5651482]
[paragraph, [90.0, 343.0, 788.0, 18.0], shoonya_1s822VI63CRAIC, 5651482]
[paragraph, [90.0, 361.0, 788.0, 18.0], shoonya_1s822VI63CRAIC, 5651482]
[paragraph, [90.0, 379.0, 788.0, 18.0], shoonya_1s822VI63CRAIC, 5651482]
[paragraph, [90.0, 397.0, 788.0, 18.0], shoonya_1s822VI63CRAIC, 5651482]
[paragraph, [90.0, 415.0, 788.0, 18.0], shoonya_1s822VI63CRAIC, 5651482]
[paragraph, [90.0, 433.0, 788.0, 18.0], shoonya_1s822VI63CRAIC, 5651482]
[paragraph, [90.0, 451.0, 788.0, 18.0], shoonya_1s822VI63CRAIC, 5651482]
[paragraph, [90.0, 469.0, 788.0, 18.0], shoonya_1s822VI63CRAIC, 5651482]
[paragraph, [90.0, 487.0, 788.0, 18.0], shoonya_1s822VI63CRAIC, 5651482]
[paragraph, [90.0, 505.0, 788.0, 18.0], shoonya_1s822VI63CRAIC, 5651482]
[paragraph, [90.0, 523.0, 788.0, 18.0], shoonya_1s822VI63CRAIC, 5651482]
[paragraph, [90.0, 541.0, 788.0, 18.0], shoonya_1s822VI63CRAIC, 5651482]
[paragraph, [89.0, 576.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [89.0, 594.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [89.0, 612.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [89.0, 630.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [89.0, 648.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [89.0, 666.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [89.0, 684.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [89.0, 702.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [89.0, 720.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [89.0, 738.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [89.0, 756.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [89.0, 774.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [89.0, 792.0, 788.0, 18.0], shoonya_4s9NUA9MM2EVQF, 5651482]
[paragraph, [87.0, 812.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [87.0, 830.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [87.0, 848.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [87.0, 866.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [87.0, 884.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [87.0, 902.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [87.0, 920.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [87.0, 938.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [87.0, 956.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [87.0, 974.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [87.0, 992.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [87.0, 1010.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [87.0, 1028.0, 795.0, 18.0], shoonya_2sMTA1WYYJGR3A, 5651482]
[paragraph, [90.0, 1057.0, 783.0, 18.0], shoonya_3sLJ2DPMYPHHEM, 5651482]
[paragraph, [90.0, 1075.0, 783.0, 18.0], shoonya_3sLJ2DPMYPHHEM, 5651482]
[paragraph, [90.0, 1093.0, 783.0, 18.0], shoonya_3sLJ2DPMYPHHEM, 5651482]
[paragraph, [90.0, 1111.0, 783.0, 18.0], shoonya_3sLJ2DPMYPHHEM, 5651482]
[paragraph, [90.0, 1129.0, 783.0, 18.0], shoonya_3sLJ2DPMYPHHEM, 5651482]
[paragraph, [90.0, 1147.0, 783.0, 18.0], shoonya_3sLJ2DPMYPHHEM, 5651482]
[paragraph, [90.0, 1165.0, 783.0, 18.0], shoonya_3sLJ2DPMYPHHEM, 5651482]
[paragraph, [90.0, 1183.0, 783.0, 18.0], shoonya_3sLJ2DPMYPHHEM, 5651482]
[paragraph, [90.0, 1201.0, 783.0, 18.0], shoonya_3sLJ2DPMYPHHEM, 5651482]
[paragraph, [90.0, 1219.0, 783.0, 18.0], shoonya_3sLJ2DPMYPHHEM, 5651482]
[paragraph, [90.0, 1237.0, 783.0, 18.0], shoonya_3sLJ2DPMYPHHEM, 5651482]
[paragraph, [90.0, 1255.0, 783.0, 18.0], shoonya_3sLJ2DPMYPHHEM, 5651482]
