[2200, 1700]
[folio, [786.0, 398.0, 146.0, 36.0], shoonya_4sFQ59N48DSM41, 5732900]
[section-title, [795.0, 488.0, 121.0, 52.5], shoonya_5s8GIQROGPM4PH, 5732900]
[paragraph, [458.0, 595.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 631.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 667.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 703.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 739.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 775.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 811.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 847.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 883.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 919.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 955.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 991.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 1027.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 1063.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 1099.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 1135.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 1171.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [458.0, 1207.0, 795.0, 36.0], shoonya_0sQM4W9DT0YWS4, 5732900]
[paragraph, [464.0, 1276.0, 783.0, 36.0], shoonya_1sM3CUDI5L3OQB, 5732900]
[paragraph, [464.0, 1312.0, 783.0, 36.0], shoonya_1sM3CUDI5L3OQB, 5732900]
[paragraph, [464.0, 1348.0, 783.0, 36.0], shoonya_1sM3CUDI5L3OQB, 5732900]
[paragraph, [464.0, 1384.0, 783.0, 36.0], shoonya_1sM3CUDI5L3OQB, 5732900]
[paragraph, [464.0, 1420.0, 783.0, 36.0], shoonya_1sM3CUDI5L3OQB, 5732900]
[paragraph, [464.0, 1456.0, 783.0, 36.0], shoonya_1sM3CUDI5L3OQB, 5732900]
[paragraph, [464.0, 1492.0, 783.0, 36.0], shoonya_1sM3CUDI5L3OQB, 5732900]
[paragraph, [464.0, 1528.0, 783.0, 36.0], shoonya_1sM3CUDI5L3OQB, 5732900]
[paragraph, [460.0, 1584.0, 787.0, 36.0], shoonya_2sDJRNBETHKQJG, 5732900]
[paragraph, [460.0, 1620.0, 787.0, 36.0], shoonya_2sDJRNBETHKQJG, 5732900]
[paragraph, [460.0, 1656.0, 787.0, 36.0], shoonya_2sDJRNBETHKQJG, 5732900]
[paragraph, [460.0, 1692.0, 787.0, 36.0], shoonya_2sDJRNBETHKQJG, 5732900]
[paragraph, [460.0, 1728.0, 787.0, 36.0], shoonya_2sDJRNBETHKQJG, 5732900]
[footnote, [1295.0, 2021.0, 239.0, 36.0], 3eOrQCMjgb, 5732900]
[footnote, [1295.0, 2057.0, 239.0, 36.0], 3eOrQCMjgb, 5732900]
[folio, [806.0, 2104.0, 180.0, 36.0], ujn8ceZMnJ, 5732900]
