[1565, 1152]
[section-title, [849.0, 69.0, 180.0, 49.5], 7cI9V8f5g9, 5712669]
[headline, [514.0, 202.0, 509.0, 37.5], shoonya_8s0W89QMLXT2F5, 5712669]
[headline, [514.0, 239.5, 509.0, 37.5], shoonya_8s0W89QMLXT2F5, 5712669]
[headline, [514.0, 277.0, 509.0, 37.5], shoonya_8s0W89QMLXT2F5, 5712669]
[headline, [514.0, 314.5, 509.0, 37.5], shoonya_8s0W89QMLXT2F5, 5712669]
[headline, [514.0, 352.0, 509.0, 37.5], shoonya_8s0W89QMLXT2F5, 5712669]
[paragraph, [433.0, 505.0, 250.0, 36.0], shoonya_5sD2D44F7LF8BX, 5712669]
[paragraph, [744.0, 506.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 542.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 578.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 614.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 650.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 686.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 722.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 758.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 794.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 830.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 866.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 902.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 938.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [744.0, 974.0, 308.0, 36.0], shoonya_1s7EE8SLV8U436, 5712669]
[paragraph, [104.0, 508.0, 304.0, 36.0], shoonya_0sUXFEMW7W2HVK, 5712669]
[paragraph, [104.0, 544.0, 304.0, 36.0], shoonya_0sUXFEMW7W2HVK, 5712669]
[paragraph, [104.0, 580.0, 304.0, 36.0], shoonya_0sUXFEMW7W2HVK, 5712669]
[paragraph, [104.0, 616.0, 304.0, 36.0], shoonya_0sUXFEMW7W2HVK, 5712669]
