[1320, 1176]
[folio, [942.0, 64.0, 151.0, 18.0], 5-OHSAebeC, 5694158]
[folio, [942.0, 82.0, 151.0, 18.0], 5-OHSAebeC, 5694158]
[folio, [942.0, 100.0, 151.0, 18.0], 5-OHSAebeC, 5694158]
[folio, [942.0, 118.0, 151.0, 18.0], 5-OHSAebeC, 5694158]
[folio, [942.0, 136.0, 151.0, 18.0], 5-OHSAebeC, 5694158]
[chapter-title, [284.0, 209.0, 587.0, 30.0], o7spE9sVOI, 5694158]
[author, [475.0, 265.0, 183.0, 18.0], iTfC20VxOa, 5694158]
[paragraph, [766.0, 311.0, 320.0, 18.0], JdN44l0_B4, 5694158]
[paragraph, [766.0, 329.0, 320.0, 18.0], JdN44l0_B4, 5694158]
[paragraph, [766.0, 347.0, 320.0, 18.0], JdN44l0_B4, 5694158]
[paragraph, [79.0, 315.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 333.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 351.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 369.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 387.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 405.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 423.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 441.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 459.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 477.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 495.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 513.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 531.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 549.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 567.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 585.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 603.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 621.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 639.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 657.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 675.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 693.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 711.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 729.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 747.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 765.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 783.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 801.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 819.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 837.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 855.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 873.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 891.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 909.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 927.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 945.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 963.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 981.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [79.0, 999.0, 325.0, 18.0], Mw_OAkzT9c, 5694158]
[paragraph, [422.0, 317.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 335.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 353.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 371.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 389.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 407.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 425.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 443.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 461.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 479.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 497.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 515.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 533.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 551.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [422.0, 569.0, 322.0, 18.0], DL_NHrTbSo, 5694158]
[paragraph, [772.0, 414.0, 317.0, 18.0], deqD3ZVXAf, 5694158]
[paragraph, [772.0, 432.0, 317.0, 18.0], deqD3ZVXAf, 5694158]
