[2339, 1653]
[paragraph, [321.0, 155.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 191.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 227.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 263.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 299.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 335.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 371.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 407.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 443.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 479.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 515.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 551.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 587.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 623.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 659.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 695.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 731.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 767.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 803.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 839.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 875.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 911.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 947.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 983.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 1019.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 1055.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [321.0, 1091.0, 1139.0, 36.0], shoonya_0sVL7V51YHJ5CJ, 5734502]
[paragraph, [322.0, 1166.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1202.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1238.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1274.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1310.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1346.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1382.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1418.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1454.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1490.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1526.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1562.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1598.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1634.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1670.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [322.0, 1706.0, 1140.0, 36.0], shoonya_1sXFC91XRQNCY4, 5734502]
[paragraph, [324.0, 1779.0, 1141.0, 36.0], shoonya_2sNKXCZDZYVWJG, 5734502]
[paragraph, [324.0, 1815.0, 1141.0, 36.0], shoonya_2sNKXCZDZYVWJG, 5734502]
[paragraph, [324.0, 1851.0, 1141.0, 36.0], shoonya_2sNKXCZDZYVWJG, 5734502]
[paragraph, [324.0, 1887.0, 1141.0, 36.0], shoonya_2sNKXCZDZYVWJG, 5734502]
[paragraph, [324.0, 1923.0, 1141.0, 36.0], shoonya_2sNKXCZDZYVWJG, 5734502]
[paragraph, [324.0, 1959.0, 1141.0, 36.0], shoonya_2sNKXCZDZYVWJG, 5734502]
[paragraph, [324.0, 1995.0, 1141.0, 36.0], shoonya_2sNKXCZDZYVWJG, 5734502]
[paragraph, [324.0, 2031.0, 1141.0, 36.0], shoonya_2sNKXCZDZYVWJG, 5734502]
[paragraph, [324.0, 2067.0, 1141.0, 36.0], shoonya_2sNKXCZDZYVWJG, 5734502]
[folio, [805.0, 2154.0, 577.0, 36.0], tshpMiHwOY, 5734502]
