[1634, 1040]
[folio, [433.0, 98.0, 186.0, 36.0], txNLrhABpe, 5731383]
[paragraph, [92.0, 172.0, 853.0, 36.0], shoonya_3s7SYMWJH190KU, 5731383]
[paragraph, [92.0, 208.0, 853.0, 36.0], shoonya_3s7SYMWJH190KU, 5731383]
[paragraph, [92.0, 244.0, 853.0, 36.0], shoonya_3s7SYMWJH190KU, 5731383]
[paragraph, [91.0, 316.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 352.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 388.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 424.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 460.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 496.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 532.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 568.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 604.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 640.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 676.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 712.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 748.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 784.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 820.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 856.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 892.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [91.0, 928.0, 854.0, 36.0], shoonya_0sL7DYL9NI83BQ, 5731383]
[paragraph, [92.0, 981.0, 856.0, 36.0], shoonya_2s3Q46BATF30YZ, 5731383]
[paragraph, [92.0, 1017.0, 856.0, 36.0], shoonya_2s3Q46BATF30YZ, 5731383]
[paragraph, [90.0, 1073.0, 858.0, 36.0], shoonya_1sPFQ54YPH27H5, 5731383]
[paragraph, [90.0, 1109.0, 858.0, 36.0], shoonya_1sPFQ54YPH27H5, 5731383]
[paragraph, [99.0, 1170.0, 851.0, 36.0], D9_1rVG0Rd, 5731383]
[paragraph, [99.0, 1206.0, 851.0, 36.0], D9_1rVG0Rd, 5731383]
[paragraph, [99.0, 1242.0, 851.0, 36.0], D9_1rVG0Rd, 5731383]
[paragraph, [99.0, 1278.0, 851.0, 36.0], D9_1rVG0Rd, 5731383]
[paragraph, [99.0, 1314.0, 851.0, 36.0], D9_1rVG0Rd, 5731383]
[paragraph, [90.0, 1350.0, 871.0, 36.0], JItwrYL2pl, 5731383]
[paragraph, [90.0, 1386.0, 871.0, 36.0], JItwrYL2pl, 5731383]
[paragraph, [90.0, 1422.0, 871.0, 36.0], JItwrYL2pl, 5731383]
[paragraph, [90.0, 1458.0, 871.0, 36.0], JItwrYL2pl, 5731383]
[paragraph, [90.0, 1494.0, 871.0, 36.0], JItwrYL2pl, 5731383]
