[2481, 1654]
[folio, [351.0, 103.0, 119.0, 36.0], NWQSfIhUu8, 5721827]
[paragraph, [228.0, 220.0, 1254.0, 36.0], shoonya_3sCC11O1HWL0TI, 5721827]
[paragraph, [228.0, 256.0, 1254.0, 36.0], shoonya_3sCC11O1HWL0TI, 5721827]
[paragraph, [228.0, 292.0, 1254.0, 36.0], shoonya_3sCC11O1HWL0TI, 5721827]
[paragraph, [228.0, 328.0, 1254.0, 36.0], shoonya_3sCC11O1HWL0TI, 5721827]
[paragraph, [291.0, 372.0, 1194.0, 36.0], shoonya_0sFK5XA9E15BBU, 5721827]
[paragraph, [225.0, 423.0, 1261.0, 36.0], G2uEAo0J-j, 5721827]
[paragraph, [225.0, 459.0, 1261.0, 36.0], G2uEAo0J-j, 5721827]
[paragraph, [289.0, 523.0, 977.0, 36.0], M7JwQtVzDF, 5721827]
[paragraph, [227.0, 572.0, 1263.0, 36.0], wLPGbfvGhk, 5721827]
[paragraph, [227.0, 608.0, 1263.0, 36.0], wLPGbfvGhk, 5721827]
[paragraph, [279.0, 680.0, 616.0, 36.0], EKJS9BvzI4, 5721827]
[paragraph, [293.0, 725.0, 181.0, 36.0], cJf9pYtJnc, 5721827]
[paragraph, [279.0, 775.0, 934.0, 36.0], PvmVormM9B, 5721827]
[paragraph, [291.0, 829.0, 785.0, 36.0], 8PVdjy0IwE, 5721827]
[paragraph, [229.0, 874.0, 1263.0, 36.0], 6_F9wN0Z7o, 5721827]
[paragraph, [229.0, 910.0, 1263.0, 36.0], 6_F9wN0Z7o, 5721827]
[paragraph, [227.0, 973.0, 1259.0, 36.0], jA1Dcl2n5_, 5721827]
[paragraph, [227.0, 1009.0, 1259.0, 36.0], jA1Dcl2n5_, 5721827]
[paragraph, [285.0, 1081.0, 605.0, 36.0], N5ntrvdpmc, 5721827]
[paragraph, [297.0, 1126.0, 1145.0, 36.0], MLe2biWDG0, 5721827]
[paragraph, [231.0, 1182.0, 1257.0, 36.0], Js4078_kuh, 5721827]
[paragraph, [231.0, 1218.0, 1257.0, 36.0], Js4078_kuh, 5721827]
[paragraph, [287.0, 1283.0, 299.0, 36.0], BdtTyWmr0L, 5721827]
[paragraph, [227.0, 1329.0, 1259.0, 36.0], fun018XEMg, 5721827]
[paragraph, [227.0, 1365.0, 1259.0, 36.0], fun018XEMg, 5721827]
[paragraph, [287.0, 1432.0, 204.0, 36.0], 3xl2scsgoe, 5721827]
[paragraph, [212.0, 1480.0, 1283.0, 36.0], MIiQXmdM2g, 5721827]
[paragraph, [212.0, 1516.0, 1283.0, 36.0], MIiQXmdM2g, 5721827]
[paragraph, [212.0, 1552.0, 1283.0, 36.0], MIiQXmdM2g, 5721827]
[paragraph, [212.0, 1588.0, 1283.0, 36.0], MIiQXmdM2g, 5721827]
[paragraph, [225.0, 1633.0, 1273.0, 36.0], rxtJVIhw2y, 5721827]
[paragraph, [225.0, 1669.0, 1273.0, 36.0], rxtJVIhw2y, 5721827]
[paragraph, [225.0, 1705.0, 1273.0, 36.0], rxtJVIhw2y, 5721827]
[paragraph, [225.0, 1741.0, 1273.0, 36.0], rxtJVIhw2y, 5721827]
[paragraph, [225.0, 1777.0, 1273.0, 36.0], rxtJVIhw2y, 5721827]
[paragraph, [225.0, 1813.0, 1273.0, 36.0], rxtJVIhw2y, 5721827]
[paragraph, [225.0, 1849.0, 1273.0, 36.0], rxtJVIhw2y, 5721827]
[paragraph, [228.0, 1887.0, 1261.0, 36.0], shoonya_2sQLDOKS2P0126, 5721827]
[paragraph, [228.0, 1923.0, 1261.0, 36.0], shoonya_2sQLDOKS2P0126, 5721827]
[paragraph, [228.0, 1959.0, 1261.0, 36.0], shoonya_2sQLDOKS2P0126, 5721827]
[paragraph, [228.0, 1995.0, 1261.0, 36.0], shoonya_2sQLDOKS2P0126, 5721827]
[paragraph, [228.0, 2031.0, 1261.0, 36.0], shoonya_2sQLDOKS2P0126, 5721827]
[paragraph, [228.0, 2067.0, 1261.0, 36.0], shoonya_2sQLDOKS2P0126, 5721827]
[paragraph, [228.0, 2103.0, 1261.0, 36.0], shoonya_2sQLDOKS2P0126, 5721827]
[paragraph, [228.0, 2139.0, 1261.0, 36.0], shoonya_2sQLDOKS2P0126, 5721827]
