[1951, 1219]
[folio, [241.0, 121.0, 187.0, 36.0], 5lY3LzQ6FD, 5682075]
[paragraph, [121.0, 199.0, 970.0, 36.0], shoonya_0sRIJJC9CVGQSS, 5682075]
[paragraph, [121.0, 235.0, 970.0, 36.0], shoonya_0sRIJJC9CVGQSS, 5682075]
[paragraph, [121.0, 271.0, 970.0, 36.0], shoonya_0sRIJJC9CVGQSS, 5682075]
[paragraph, [121.0, 307.0, 970.0, 36.0], shoonya_0sRIJJC9CVGQSS, 5682075]
[paragraph, [121.0, 343.0, 970.0, 36.0], shoonya_0sRIJJC9CVGQSS, 5682075]
[paragraph, [121.0, 379.0, 970.0, 36.0], shoonya_0sRIJJC9CVGQSS, 5682075]
[paragraph, [121.0, 415.0, 970.0, 36.0], shoonya_0sRIJJC9CVGQSS, 5682075]
[paragraph, [121.0, 451.0, 970.0, 36.0], shoonya_0sRIJJC9CVGQSS, 5682075]
[paragraph, [121.0, 487.0, 970.0, 36.0], shoonya_0sRIJJC9CVGQSS, 5682075]
[paragraph, [120.0, 556.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 592.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 628.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 664.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 700.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 736.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 772.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 808.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 844.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 880.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 916.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 952.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 988.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 1024.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 1060.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 1096.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [120.0, 1132.0, 969.0, 36.0], m3U_K0jHZs, 5682075]
[paragraph, [118.0, 1197.0, 966.0, 36.0], ENAnlpGjda, 5682075]
[paragraph, [118.0, 1233.0, 966.0, 36.0], ENAnlpGjda, 5682075]
[paragraph, [118.0, 1269.0, 966.0, 36.0], ENAnlpGjda, 5682075]
[paragraph, [118.0, 1305.0, 966.0, 36.0], ENAnlpGjda, 5682075]
[paragraph, [118.0, 1341.0, 966.0, 36.0], ENAnlpGjda, 5682075]
[paragraph, [118.0, 1377.0, 966.0, 36.0], ENAnlpGjda, 5682075]
[paragraph, [118.0, 1413.0, 966.0, 36.0], ENAnlpGjda, 5682075]
[paragraph, [118.0, 1449.0, 966.0, 36.0], ENAnlpGjda, 5682075]
[paragraph, [118.0, 1485.0, 966.0, 36.0], ENAnlpGjda, 5682075]
[paragraph, [118.0, 1521.0, 966.0, 36.0], ENAnlpGjda, 5682075]
[paragraph, [118.0, 1557.0, 966.0, 36.0], ENAnlpGjda, 5682075]
[paragraph, [120.0, 1602.0, 961.0, 36.0], xVYlI5YsQ9, 5682075]
[paragraph, [120.0, 1638.0, 961.0, 36.0], xVYlI5YsQ9, 5682075]
[paragraph, [120.0, 1674.0, 961.0, 36.0], xVYlI5YsQ9, 5682075]
[paragraph, [120.0, 1710.0, 961.0, 36.0], xVYlI5YsQ9, 5682075]
[paragraph, [120.0, 1746.0, 961.0, 36.0], xVYlI5YsQ9, 5682075]
[paragraph, [120.0, 1782.0, 961.0, 36.0], xVYlI5YsQ9, 5682075]
