[1267, 728]
[folio, [38.0, 25.0, 115.0, 18.0], N8_wzPLsnK, 5781633]
[folio, [38.0, 43.0, 115.0, 18.0], N8_wzPLsnK, 5781633]
[section-title, [80.0, 81.0, 576.0, 30.0], Dm_S-xQyc7, 5781633]
[ordered-list, [24.0, 112.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 130.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 148.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 166.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 184.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 202.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 220.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 238.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 256.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 274.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 292.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 310.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 328.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 346.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 364.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 382.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 400.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 418.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 436.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 454.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 472.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 490.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 508.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 526.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 544.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 562.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 580.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 598.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 616.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 634.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 652.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 670.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 688.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 706.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 724.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 742.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 760.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 778.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 796.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 814.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 832.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 850.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 868.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 886.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 904.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 922.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 940.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 958.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 976.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 994.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 1012.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 1030.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 1048.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 1066.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 1084.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 1102.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 1120.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 1138.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 1156.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[ordered-list, [24.0, 1174.0, 670.0, 18.0], 2PWNmRqYf9, 5781633]
[sidebar, [523.0, 895.0, 133.0, 18.0], b40ply4Zes, 5781633]
[figure-caption, [46.0, 954.0, 629.0, 18.0], 4bOdeHPKUg, 5781633]
