[792, 567]
[folio, [23.0, 23.0, 51.0, 18.0], 9YRKJQuzlQ, 5713363]
[folio, [80.0, 29.0, 105.0, 18.0], -VOXUzjF3v, 5713363]
[headline, [106.0, 334.0, 345.0, 25.5], shoonya_1s6X14Y1YVG9AX, 5713363]
[headline, [106.0, 359.5, 345.0, 25.5], shoonya_1s6X14Y1YVG9AX, 5713363]
[headline, [106.0, 385.0, 345.0, 25.5], shoonya_1s6X14Y1YVG9AX, 5713363]
[paragraph, [29.0, 424.0, 482.0, 18.0], 4QfR46-gnv, 5713363]
[paragraph, [29.0, 442.0, 482.0, 18.0], 4QfR46-gnv, 5713363]
[paragraph, [29.0, 460.0, 482.0, 18.0], 4QfR46-gnv, 5713363]
[paragraph, [13.0, 491.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [13.0, 509.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [13.0, 527.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [13.0, 545.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [13.0, 563.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [13.0, 581.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [13.0, 599.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [13.0, 617.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [13.0, 635.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [13.0, 653.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [13.0, 671.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [13.0, 689.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [13.0, 707.0, 175.0, 18.0], shoonya_3s56JHTPRFPT4R, 5713363]
[paragraph, [188.0, 492.0, 169.0, 18.0], l9J1wVtRRG, 5713363]
[paragraph, [188.0, 510.0, 169.0, 18.0], l9J1wVtRRG, 5713363]
[paragraph, [188.0, 528.0, 169.0, 18.0], l9J1wVtRRG, 5713363]
[paragraph, [188.0, 546.0, 169.0, 18.0], l9J1wVtRRG, 5713363]
[paragraph, [188.0, 564.0, 169.0, 18.0], l9J1wVtRRG, 5713363]
[paragraph, [358.0, 494.0, 177.0, 18.0], G-fOJJHmFx, 5713363]
[paragraph, [358.0, 512.0, 177.0, 18.0], G-fOJJHmFx, 5713363]
[paragraph, [358.0, 530.0, 177.0, 18.0], G-fOJJHmFx, 5713363]
[paragraph, [358.0, 548.0, 177.0, 18.0], G-fOJJHmFx, 5713363]
[paragraph, [358.0, 566.0, 177.0, 18.0], G-fOJJHmFx, 5713363]
[paragraph, [358.0, 584.0, 177.0, 18.0], G-fOJJHmFx, 5713363]
[paragraph, [358.0, 602.0, 177.0, 18.0], G-fOJJHmFx, 5713363]
[paragraph, [358.0, 620.0, 177.0, 18.0], G-fOJJHmFx, 5713363]
[paragraph, [193.0, 583.0, 164.0, 18.0], sLScLSvO2I, 5713363]
[paragraph, [193.0, 601.0, 164.0, 18.0], sLScLSvO2I, 5713363]
[paragraph, [193.0, 619.0, 164.0, 18.0], sLScLSvO2I, 5713363]
[paragraph, [205.0, 656.0, 325.0, 18.0], 4ZMRD2vyAF, 5713363]
[paragraph, [205.0, 674.0, 325.0, 18.0], 4ZMRD2vyAF, 5713363]
[paragraph, [205.0, 692.0, 325.0, 18.0], 4ZMRD2vyAF, 5713363]
[paragraph, [205.0, 710.0, 325.0, 18.0], 4ZMRD2vyAF, 5713363]
[folio, [39.0, 750.0, 110.0, 18.0], 2a06nQ-2Lc, 5713363]
