[2339, 1654]
[folio, [1353.0, 64.0, 234.0, 36.0], iH7eDYdKuj, 5750799]
[paragraph, [302.0, 131.0, 1138.0, 36.0], shoonya_3sDULAT3N9QCZL, 5750799]
[paragraph, [302.0, 167.0, 1138.0, 36.0], shoonya_3sDULAT3N9QCZL, 5750799]
[paragraph, [302.0, 203.0, 1138.0, 36.0], shoonya_3sDULAT3N9QCZL, 5750799]
[paragraph, [302.0, 239.0, 1138.0, 36.0], shoonya_3sDULAT3N9QCZL, 5750799]
[paragraph, [302.0, 275.0, 1138.0, 36.0], shoonya_3sDULAT3N9QCZL, 5750799]
[paragraph, [302.0, 311.0, 1138.0, 36.0], shoonya_3sDULAT3N9QCZL, 5750799]
[reference, [973.0, 394.0, 448.0, 36.0], shoonya_2sLHLHVO1B0K5O, 5750799]
[paragraph, [149.0, 444.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 480.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 516.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 552.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 588.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 624.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 660.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 696.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 732.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 768.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 804.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 840.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 876.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 912.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 948.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 984.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 1020.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 1056.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 1092.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
[paragraph, [149.0, 1128.0, 1431.0, 36.0], shoonya_0s4401MHTFK5B4, 5750799]
