[1063, 680]
[folio, [292.0, 59.0, 83.0, 18.0], shoonya_2sMT6BKC8HL3GF, 5740287]
[paragraph, [64.0, 101.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 119.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 137.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 155.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 173.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 191.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 209.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 227.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 245.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 263.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 281.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 299.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 317.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 335.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 353.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 371.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 389.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 407.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 425.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 443.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 461.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 479.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 497.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 515.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 533.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 551.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 569.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 587.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 605.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 623.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 641.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 659.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 677.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [64.0, 695.0, 535.0, 18.0], wXCUT387K6, 5740287]
[paragraph, [61.0, 748.0, 539.0, 18.0], shoonya_0sRXH5IOE50EEX, 5740287]
[paragraph, [61.0, 766.0, 539.0, 18.0], shoonya_0sRXH5IOE50EEX, 5740287]
[paragraph, [61.0, 784.0, 539.0, 18.0], shoonya_0sRXH5IOE50EEX, 5740287]
[paragraph, [61.0, 802.0, 539.0, 18.0], shoonya_0sRXH5IOE50EEX, 5740287]
[paragraph, [61.0, 820.0, 539.0, 18.0], shoonya_0sRXH5IOE50EEX, 5740287]
[paragraph, [61.0, 838.0, 539.0, 18.0], shoonya_0sRXH5IOE50EEX, 5740287]
[paragraph, [61.0, 856.0, 539.0, 18.0], shoonya_0sRXH5IOE50EEX, 5740287]
[paragraph, [61.0, 874.0, 539.0, 18.0], shoonya_0sRXH5IOE50EEX, 5740287]
[paragraph, [61.0, 892.0, 539.0, 18.0], shoonya_0sRXH5IOE50EEX, 5740287]
[paragraph, [61.0, 910.0, 539.0, 18.0], shoonya_0sRXH5IOE50EEX, 5740287]
[footnote, [460.0, 1013.0, 181.0, 18.0], lolOGN29q9, 5740287]
