[792, 612]
[section-title, [248.0, 109.0, 116.0, 30.0], 9UHslfr59p, 6514193]
[paragraph, [48.0, 184.0, 242.0, 18.0], JmJUgsBI7h, 6514193]
[paragraph, [48.0, 202.0, 242.0, 18.0], JmJUgsBI7h, 6514193]
[paragraph, [335.0, 186.0, 116.0, 18.0], l6rL7x0xyq, 6514193]
[paragraph, [335.0, 204.0, 116.0, 18.0], l6rL7x0xyq, 6514193]
[paragraph, [335.0, 222.0, 116.0, 18.0], l6rL7x0xyq, 6514193]
[paragraph, [335.0, 240.0, 116.0, 18.0], l6rL7x0xyq, 6514193]
[paragraph, [335.0, 258.0, 116.0, 18.0], l6rL7x0xyq, 6514193]
[paragraph, [65.0, 247.0, 151.0, 18.0], 26uAezETsq, 6514193]
[paragraph, [65.0, 265.0, 151.0, 18.0], 26uAezETsq, 6514193]
[paragraph, [65.0, 283.0, 151.0, 18.0], 26uAezETsq, 6514193]
[paragraph, [337.0, 307.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 325.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 343.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 361.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 379.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 397.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 415.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 433.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 451.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 469.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 487.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 505.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 523.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 541.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 559.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 577.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 595.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [337.0, 613.0, 181.0, 18.0], GH1Abef5FW, 6514193]
[paragraph, [65.0, 342.0, 165.0, 18.0], EtplBZ0Bm8, 6514193]
[paragraph, [65.0, 360.0, 165.0, 18.0], EtplBZ0Bm8, 6514193]
[paragraph, [65.0, 378.0, 165.0, 18.0], EtplBZ0Bm8, 6514193]
[paragraph, [65.0, 396.0, 165.0, 18.0], EtplBZ0Bm8, 6514193]
[paragraph, [65.0, 414.0, 165.0, 18.0], EtplBZ0Bm8, 6514193]
[paragraph, [67.0, 462.0, 185.0, 18.0], 2Dpd0lGJKJ, 6514193]
[paragraph, [67.0, 480.0, 185.0, 18.0], 2Dpd0lGJKJ, 6514193]
[paragraph, [67.0, 498.0, 185.0, 18.0], 2Dpd0lGJKJ, 6514193]
[paragraph, [67.0, 516.0, 185.0, 18.0], 2Dpd0lGJKJ, 6514193]
[paragraph, [67.0, 534.0, 185.0, 18.0], 2Dpd0lGJKJ, 6514193]
[paragraph, [67.0, 552.0, 185.0, 18.0], 2Dpd0lGJKJ, 6514193]
[paragraph, [67.0, 570.0, 185.0, 18.0], 2Dpd0lGJKJ, 6514193]
[paragraph, [67.0, 588.0, 185.0, 18.0], 2Dpd0lGJKJ, 6514193]
[paragraph, [67.0, 606.0, 185.0, 18.0], 2Dpd0lGJKJ, 6514193]
