[842, 596]
[headline, [158.0, 81.0, 295.0, 25.5], vj_Ou_aWGJ, 5770942]
[folio, [202.0, 124.0, 227.0, 18.0], ZlMJbOpkM1, 5770942]
[folio, [202.0, 142.0, 227.0, 18.0], ZlMJbOpkM1, 5770942]
[sub-headline, [86.0, 182.0, 64.0, 25.5], u2lZj6x1vp, 5770942]
[paragraph, [84.0, 233.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 251.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 269.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 287.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 305.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 323.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 341.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 359.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 377.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 395.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 413.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 431.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 449.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 467.0, 426.0, 18.0], shoonya_0s7RAKHR35KLQD, 5770942]
[paragraph, [84.0, 488.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 506.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 524.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 542.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 560.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 578.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 596.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 614.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 632.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 650.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 668.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 686.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 704.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 722.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
[paragraph, [84.0, 740.0, 425.0, 18.0], shoonya_2sFZM0I4YJJY5X, 5770942]
