[1839, 1268]
[paragraph, [178.0, 197.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 233.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 269.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 305.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 341.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 377.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 413.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 449.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 485.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 521.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 557.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 593.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 629.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 665.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 701.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 737.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 773.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 809.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 845.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 881.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 917.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 953.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 989.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 1025.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 1061.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 1097.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 1133.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 1169.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 1205.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 1241.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 1277.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 1313.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 1349.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 1385.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [178.0, 1421.0, 949.0, 36.0], shoonya_0sAMKLUW1GZSNJ, 5743745]
[paragraph, [180.0, 1466.0, 943.0, 36.0], GAo61Gf35J, 5743745]
[paragraph, [180.0, 1502.0, 943.0, 36.0], GAo61Gf35J, 5743745]
[paragraph, [180.0, 1538.0, 943.0, 36.0], GAo61Gf35J, 5743745]
[paragraph, [180.0, 1574.0, 943.0, 36.0], GAo61Gf35J, 5743745]
[paragraph, [180.0, 1610.0, 943.0, 36.0], GAo61Gf35J, 5743745]
