[1625, 1211]
[section-title, [181.0, 187.0, 396.0, 49.5], shoonya_0sJITRNZXNK3F6, 5742795]
[section-title, [1018.0, 194.0, 127.0, 49.5], tYuCMSQaLB, 5742795]
[author, [298.0, 253.0, 233.0, 36.0], Fz9s44pf7Q, 5742795]
[paragraph, [430.0, 345.0, 344.0, 36.0], v4jGKW9ETJ, 5742795]
[paragraph, [430.0, 381.0, 344.0, 36.0], v4jGKW9ETJ, 5742795]
[paragraph, [68.0, 350.0, 348.0, 36.0], DZ3jPdBTTX, 5742795]
[paragraph, [68.0, 386.0, 348.0, 36.0], DZ3jPdBTTX, 5742795]
[paragraph, [68.0, 422.0, 348.0, 36.0], DZ3jPdBTTX, 5742795]
[paragraph, [68.0, 458.0, 348.0, 36.0], DZ3jPdBTTX, 5742795]
[paragraph, [68.0, 494.0, 348.0, 36.0], DZ3jPdBTTX, 5742795]
[paragraph, [804.0, 404.0, 342.0, 36.0], 10_RdD85ri, 5742795]
[paragraph, [804.0, 440.0, 342.0, 36.0], 10_RdD85ri, 5742795]
[paragraph, [431.0, 453.0, 344.0, 36.0], 8l_jhzGFGE, 5742795]
[paragraph, [803.0, 513.0, 339.0, 36.0], IsK6QDJB2e, 5742795]
[paragraph, [803.0, 549.0, 339.0, 36.0], IsK6QDJB2e, 5742795]
[paragraph, [803.0, 585.0, 339.0, 36.0], IsK6QDJB2e, 5742795]
[paragraph, [434.0, 527.0, 341.0, 36.0], ALV4Rt8m_9, 5742795]
[paragraph, [434.0, 563.0, 341.0, 36.0], ALV4Rt8m_9, 5742795]
[paragraph, [434.0, 599.0, 341.0, 36.0], ALV4Rt8m_9, 5742795]
[paragraph, [434.0, 635.0, 341.0, 36.0], ALV4Rt8m_9, 5742795]
[paragraph, [72.0, 565.0, 341.0, 36.0], wevFIePBiC, 5742795]
[paragraph, [72.0, 601.0, 341.0, 36.0], wevFIePBiC, 5742795]
[paragraph, [72.0, 674.0, 339.0, 36.0], QqJSG02F1k, 5742795]
[paragraph, [72.0, 710.0, 339.0, 36.0], QqJSG02F1k, 5742795]
[paragraph, [794.0, 679.0, 357.0, 36.0], iJPppbvyl8, 5742795]
[paragraph, [427.0, 738.0, 344.0, 36.0], 9j1ABC2dQk, 5742795]
[paragraph, [71.0, 786.0, 345.0, 36.0], -ZplVDSaep, 5742795]
[paragraph, [71.0, 822.0, 345.0, 36.0], -ZplVDSaep, 5742795]
