[842, 595]
[folio, [360.0, 42.0, 192.0, 18.0], zqxoOS4izI, 5707256]
[folio, [360.0, 60.0, 192.0, 18.0], zqxoOS4izI, 5707256]
[folio, [360.0, 78.0, 192.0, 18.0], zqxoOS4izI, 5707256]
[contact-info, [210.0, 115.0, 213.0, 18.0], HUnRmuC51Q, 5707256]
[contact-info, [210.0, 133.0, 213.0, 18.0], HUnRmuC51Q, 5707256]
[contact-info, [210.0, 151.0, 213.0, 18.0], HUnRmuC51Q, 5707256]
[contact-info, [210.0, 169.0, 213.0, 18.0], HUnRmuC51Q, 5707256]
[paragraph, [84.0, 254.0, 461.0, 18.0], shoonya_2s6O4DX6QWB98Z, 5707256]
[paragraph, [84.0, 272.0, 461.0, 18.0], shoonya_2s6O4DX6QWB98Z, 5707256]
[paragraph, [84.0, 290.0, 461.0, 18.0], shoonya_2s6O4DX6QWB98Z, 5707256]
[paragraph, [84.0, 308.0, 461.0, 18.0], shoonya_2s6O4DX6QWB98Z, 5707256]
[paragraph, [84.0, 326.0, 461.0, 18.0], shoonya_2s6O4DX6QWB98Z, 5707256]
[paragraph, [84.0, 354.0, 461.0, 18.0], shoonya_1sAGUNLGYJKDBQ, 5707256]
[paragraph, [84.0, 372.0, 461.0, 18.0], shoonya_1sAGUNLGYJKDBQ, 5707256]
[paragraph, [84.0, 390.0, 461.0, 18.0], shoonya_1sAGUNLGYJKDBQ, 5707256]
[paragraph, [84.0, 408.0, 461.0, 18.0], shoonya_1sAGUNLGYJKDBQ, 5707256]
[ordered-list, [86.0, 454.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 472.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 490.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 508.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 526.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 544.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 562.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 580.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 598.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 616.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 634.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 652.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 670.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 688.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 706.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 724.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[ordered-list, [86.0, 742.0, 451.0, 18.0], shoonya_3sF5LKTIAIR9U1, 5707256]
[unordered-list, [118.0, 473.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 491.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 509.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 527.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 545.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 563.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 581.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 599.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 617.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 635.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 653.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 671.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 689.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 707.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 725.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[unordered-list, [118.0, 743.0, 417.0, 18.0], shoonya_0s3RME7K19KD9Y, 5707256]
[website-link, [136.0, 649.0, 103.0, 18.0], snbPKjzXaQ, 5707256]
[website-link, [435.0, 670.0, 104.0, 18.0], DV7wBDjqId, 5707256]
