[1650, 1275]
[paragraph, [138.0, 135.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 171.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 207.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 243.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 279.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 315.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 351.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 387.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 423.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 459.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 495.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 531.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 567.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 603.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 639.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 675.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 711.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 747.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 783.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 819.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 855.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 891.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 927.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 963.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 999.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 1035.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 1071.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 1107.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 1143.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 1179.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 1215.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 1251.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 1287.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 1323.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 1359.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 1395.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
[paragraph, [138.0, 1431.0, 1007.0, 36.0], shoonya_1sL4616QQ6RY9D, 5703553]
