[2339, 1653]
[paragraph, [406.0, 242.0, 233.0, 36.0], lLlfgt2Ll8, 5686971]
[paragraph, [406.0, 278.0, 233.0, 36.0], lLlfgt2Ll8, 5686971]
[paragraph, [406.0, 314.0, 233.0, 36.0], lLlfgt2Ll8, 5686971]
[reference, [646.0, 304.0, 173.0, 36.0], 71jnP1cwCc, 5686971]
[paragraph, [328.0, 363.0, 384.0, 36.0], B_3BX45bKp, 5686971]
[paragraph, [328.0, 399.0, 384.0, 36.0], B_3BX45bKp, 5686971]
[paragraph, [328.0, 435.0, 384.0, 36.0], B_3BX45bKp, 5686971]
[paragraph, [328.0, 471.0, 384.0, 36.0], B_3BX45bKp, 5686971]
[paragraph, [328.0, 507.0, 384.0, 36.0], B_3BX45bKp, 5686971]
[paragraph, [328.0, 543.0, 384.0, 36.0], B_3BX45bKp, 5686971]
[paragraph, [399.0, 615.0, 226.0, 36.0], T7rWh6Aefu, 5686971]
[reference, [627.0, 617.0, 773.0, 36.0], Hn8nsQ0xX0, 5686971]
[paragraph, [460.0, 753.0, 939.0, 36.0], dQ5oWPpesj, 5686971]
[paragraph, [240.0, 820.0, 1162.0, 36.0], shoonya_0sE06139GPOFP3, 5686971]
[paragraph, [240.0, 856.0, 1162.0, 36.0], shoonya_0sE06139GPOFP3, 5686971]
[paragraph, [240.0, 892.0, 1162.0, 36.0], shoonya_0sE06139GPOFP3, 5686971]
[paragraph, [240.0, 928.0, 1162.0, 36.0], shoonya_0sE06139GPOFP3, 5686971]
[paragraph, [240.0, 964.0, 1162.0, 36.0], shoonya_0sE06139GPOFP3, 5686971]
[paragraph, [240.0, 1000.0, 1162.0, 36.0], shoonya_0sE06139GPOFP3, 5686971]
[paragraph, [240.0, 1036.0, 1162.0, 36.0], shoonya_0sE06139GPOFP3, 5686971]
[paragraph, [460.0, 1103.0, 335.0, 36.0], shoonya_4sB1NJJ7IY9DL6, 5686971]
[paragraph, [460.0, 1139.0, 335.0, 36.0], shoonya_4sB1NJJ7IY9DL6, 5686971]
[paragraph, [460.0, 1175.0, 335.0, 36.0], shoonya_4sB1NJJ7IY9DL6, 5686971]
[paragraph, [460.0, 1211.0, 335.0, 36.0], shoonya_4sB1NJJ7IY9DL6, 5686971]
[paragraph, [460.0, 1247.0, 335.0, 36.0], shoonya_4sB1NJJ7IY9DL6, 5686971]
[paragraph, [460.0, 1283.0, 335.0, 36.0], shoonya_4sB1NJJ7IY9DL6, 5686971]
[paragraph, [457.0, 1353.0, 300.0, 36.0], shoonya_3sF2FO0HAJZRXR, 5686971]
[reference, [760.0, 1357.0, 181.0, 36.0], pQAkOaFqhb, 5686971]
[paragraph, [352.0, 1422.0, 1047.0, 36.0], gbjZ8KCBdd, 5686971]
[paragraph, [247.0, 1491.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1527.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1563.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1599.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1635.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1671.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1707.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1743.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1779.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1815.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1851.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1887.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1923.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1959.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 1995.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
[paragraph, [247.0, 2031.0, 1155.0, 36.0], shoonya_1sP88RRKD9YSQU, 5686971]
