[1050, 693]
[paragraph, [80.0, 448.0, 532.0, 18.0], xOwup02v1r, 5702359]
[paragraph, [80.0, 466.0, 532.0, 18.0], xOwup02v1r, 5702359]
[paragraph, [80.0, 484.0, 532.0, 18.0], xOwup02v1r, 5702359]
[paragraph, [80.0, 502.0, 532.0, 18.0], xOwup02v1r, 5702359]
[paragraph, [80.0, 520.0, 532.0, 18.0], xOwup02v1r, 5702359]
[paragraph, [80.0, 538.0, 532.0, 18.0], xOwup02v1r, 5702359]
[paragraph, [80.0, 556.0, 532.0, 18.0], xOwup02v1r, 5702359]
[paragraph, [80.0, 574.0, 532.0, 18.0], xOwup02v1r, 5702359]
[paragraph, [80.0, 592.0, 532.0, 18.0], xOwup02v1r, 5702359]
[paragraph, [78.0, 622.0, 533.0, 18.0], shoonya_0sXTGXO96S06QD, 5702359]
[paragraph, [78.0, 640.0, 533.0, 18.0], shoonya_0sXTGXO96S06QD, 5702359]
[paragraph, [78.0, 658.0, 533.0, 18.0], shoonya_0sXTGXO96S06QD, 5702359]
[paragraph, [78.0, 676.0, 533.0, 18.0], shoonya_0sXTGXO96S06QD, 5702359]
[paragraph, [78.0, 694.0, 533.0, 18.0], shoonya_0sXTGXO96S06QD, 5702359]
[paragraph, [78.0, 712.0, 533.0, 18.0], shoonya_0sXTGXO96S06QD, 5702359]
[paragraph, [78.0, 730.0, 533.0, 18.0], shoonya_0sXTGXO96S06QD, 5702359]
[paragraph, [78.0, 748.0, 533.0, 18.0], shoonya_0sXTGXO96S06QD, 5702359]
[paragraph, [78.0, 766.0, 533.0, 18.0], shoonya_0sXTGXO96S06QD, 5702359]
[paragraph, [78.0, 784.0, 533.0, 18.0], shoonya_0sXTGXO96S06QD, 5702359]
[paragraph, [79.0, 812.0, 534.0, 18.0], 7gOc2L9qvA, 5702359]
[paragraph, [79.0, 830.0, 534.0, 18.0], 7gOc2L9qvA, 5702359]
[paragraph, [79.0, 848.0, 534.0, 18.0], 7gOc2L9qvA, 5702359]
[paragraph, [79.0, 866.0, 534.0, 18.0], 7gOc2L9qvA, 5702359]
[paragraph, [79.0, 884.0, 534.0, 18.0], 7gOc2L9qvA, 5702359]
[paragraph, [79.0, 902.0, 534.0, 18.0], 7gOc2L9qvA, 5702359]
[paragraph, [79.0, 920.0, 534.0, 18.0], 7gOc2L9qvA, 5702359]
[paragraph, [79.0, 938.0, 534.0, 18.0], 7gOc2L9qvA, 5702359]
[paragraph, [79.0, 956.0, 534.0, 18.0], 7gOc2L9qvA, 5702359]
