[1261, 798]
[folio, [42.0, 20.0, 140.0, 18.0], shoonya_0sSQT2T9L9BDVF, 5782183]
[folio, [42.0, 38.0, 140.0, 18.0], shoonya_0sSQT2T9L9BDVF, 5782183]
[folio, [299.0, 46.0, 176.0, 18.0], wY5mjAWX48, 5782183]
[sub-section-title, [318.0, 132.0, 134.0, 25.5], 1JFNFvu1n-, 5782183]
[index, [50.0, 163.0, 675.0, 18.0], 0SygW3ioIe, 5782183]
[index, [50.0, 181.0, 675.0, 18.0], 0SygW3ioIe, 5782183]
[index, [50.0, 199.0, 675.0, 18.0], 0SygW3ioIe, 5782183]
[ordered-list, [22.0, 229.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 247.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 265.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 283.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 301.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 319.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 337.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 355.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 373.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 391.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 409.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 427.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 445.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 463.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 481.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 499.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 517.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 535.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 553.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 571.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 589.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 607.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 625.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 643.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 661.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 679.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 697.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 715.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 733.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 751.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 769.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 787.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 805.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 823.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 841.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 859.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 877.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 895.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 913.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 931.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 949.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 967.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 985.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 1003.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 1021.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 1039.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 1057.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 1075.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 1093.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 1111.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 1129.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[ordered-list, [22.0, 1147.0, 715.0, 18.0], U3pu6mAEtE, 5782183]
[sub-section-title, [78.0, 556.0, 608.0, 25.5], _rtSTPhfEn, 5782183]
[sub-section-title, [78.0, 581.5, 608.0, 25.5], _rtSTPhfEn, 5782183]
[index, [39.0, 617.0, 693.0, 18.0], 9iPhhU1dDc, 5782183]
