[3509, 2482]
[folio, [859.0, 202.0, 491.0, 52.5], shoonya_1s0NMCTJU1ODUD, 5691876]
[folio, [859.0, 254.5, 491.0, 52.5], shoonya_1s0NMCTJU1ODUD, 5691876]
[paragraph, [186.0, 347.0, 1839.0, 52.5], IEqWF3ue6D, 5691876]
[paragraph, [186.0, 399.5, 1839.0, 52.5], IEqWF3ue6D, 5691876]
[paragraph, [186.0, 452.0, 1839.0, 52.5], IEqWF3ue6D, 5691876]
[paragraph, [186.0, 504.5, 1839.0, 52.5], IEqWF3ue6D, 5691876]
[paragraph, [269.0, 580.0, 1281.0, 52.5], la5XXpFbp_, 5691876]
[paragraph, [217.0, 670.0, 1796.0, 52.5], ewe4RCJWSd, 5691876]
[paragraph, [217.0, 722.5, 1796.0, 52.5], ewe4RCJWSd, 5691876]
[paragraph, [279.0, 822.0, 1067.0, 52.5], tqdFv8GYx8, 5691876]
[paragraph, [195.0, 902.0, 1827.0, 52.5], 4UHWuZYZ07, 5691876]
[paragraph, [195.0, 954.5, 1827.0, 52.5], 4UHWuZYZ07, 5691876]
[paragraph, [195.0, 1007.0, 1827.0, 52.5], 4UHWuZYZ07, 5691876]
[paragraph, [195.0, 1059.5, 1827.0, 52.5], 4UHWuZYZ07, 5691876]
[paragraph, [195.0, 1112.0, 1827.0, 52.5], 4UHWuZYZ07, 5691876]
[paragraph, [195.0, 1164.5, 1827.0, 52.5], 4UHWuZYZ07, 5691876]
[paragraph, [282.0, 1210.0, 1082.0, 52.5], N_LIWJnOy0, 5691876]
[paragraph, [201.0, 1287.0, 1824.0, 52.5], 6H8NdKkBl6, 5691876]
[paragraph, [201.0, 1339.5, 1824.0, 52.5], 6H8NdKkBl6, 5691876]
[paragraph, [201.0, 1392.0, 1824.0, 52.5], 6H8NdKkBl6, 5691876]
[paragraph, [201.0, 1444.5, 1824.0, 52.5], 6H8NdKkBl6, 5691876]
[paragraph, [201.0, 1497.0, 1824.0, 52.5], 6H8NdKkBl6, 5691876]
[paragraph, [201.0, 1549.5, 1824.0, 52.5], 6H8NdKkBl6, 5691876]
[paragraph, [201.0, 1602.0, 1824.0, 52.5], 6H8NdKkBl6, 5691876]
[paragraph, [173.0, 1681.0, 1877.0, 52.5], I7kVTbt234, 5691876]
[paragraph, [173.0, 1733.5, 1877.0, 52.5], I7kVTbt234, 5691876]
[paragraph, [173.0, 1786.0, 1877.0, 52.5], I7kVTbt234, 5691876]
[paragraph, [189.0, 1842.0, 1849.0, 52.5], IzBFGX-RQp, 5691876]
[paragraph, [189.0, 1894.5, 1849.0, 52.5], IzBFGX-RQp, 5691876]
[paragraph, [189.0, 1947.0, 1849.0, 52.5], IzBFGX-RQp, 5691876]
[paragraph, [189.0, 1999.5, 1849.0, 52.5], IzBFGX-RQp, 5691876]
[paragraph, [310.0, 2072.0, 1073.0, 52.5], tumXQ4K9iM, 5691876]
[paragraph, [266.0, 2156.0, 812.0, 52.5], jbebiyeJiN, 5691876]
[paragraph, [192.0, 2224.0, 1836.0, 52.5], p-IKYkyUDN, 5691876]
[paragraph, [192.0, 2276.5, 1836.0, 52.5], p-IKYkyUDN, 5691876]
[paragraph, [192.0, 2329.0, 1836.0, 52.5], p-IKYkyUDN, 5691876]
[paragraph, [192.0, 2381.5, 1836.0, 52.5], p-IKYkyUDN, 5691876]
[paragraph, [276.0, 2463.0, 865.0, 52.5], smnoYRA-75, 5691876]
[paragraph, [297.0, 2544.0, 784.0, 52.5], 1IY85nsn47, 5691876]
[paragraph, [291.0, 2617.0, 446.0, 52.5], _3TuYXA-zg, 5691876]
[paragraph, [294.0, 2910.0, 1123.0, 52.5], jPznTnJJrO, 5691876]
[paragraph, [266.0, 3003.0, 760.0, 52.5], Q0dZJcVcny, 5691876]
[paragraph, [310.0, 3087.0, 964.0, 52.5], Sk4jjXGDAl, 5691876]
[paragraph, [214.0, 3167.0, 1787.0, 52.5], ytAvisarNi, 5691876]
[paragraph, [214.0, 3219.5, 1787.0, 52.5], ytAvisarNi, 5691876]
[paragraph, [214.0, 3272.0, 1787.0, 52.5], ytAvisarNi, 5691876]
