[3060, 3960]
[section-title, [421.0, 545.0, 1080.0, 93.0], AMJGvmsVmg, 5695724]
[section-title, [421.0, 638.0, 1080.0, 93.0], AMJGvmsVmg, 5695724]
[unordered-list, [99.0, 947.0, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 999.5, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1052.0, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1104.5, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1157.0, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1209.5, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1262.0, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1314.5, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1367.0, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1419.5, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1472.0, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1524.5, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1577.0, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1629.5, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[unordered-list, [99.0, 1682.0, 2235.0, 52.5], uXDFspiJ2N, 5695724]
[folio, [19.0, 2420.0, 2136.0, 52.5], yxgj-4yE5R, 5695724]
[folio, [19.0, 2472.5, 2136.0, 52.5], yxgj-4yE5R, 5695724]
[folio, [19.0, 2525.0, 2136.0, 52.5], yxgj-4yE5R, 5695724]
