[2337, 1749]
[paragraph, [364.0, 295.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [364.0, 331.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [364.0, 367.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [364.0, 403.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [364.0, 439.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [364.0, 475.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [364.0, 511.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [364.0, 547.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [364.0, 583.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [364.0, 619.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [364.0, 655.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [364.0, 691.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [364.0, 727.0, 1178.0, 36.0], shoonya_1sU84Z93QCYLLX, 5734047]
[paragraph, [355.0, 909.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 945.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 981.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1017.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1053.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1089.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1125.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1161.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1197.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1233.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1269.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1305.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1341.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1377.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1413.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1449.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1485.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1521.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1557.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1593.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1629.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1665.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [355.0, 1701.0, 1177.0, 36.0], shoonya_0sPSV1PXK7X3Q6, 5734047]
[paragraph, [352.0, 1885.0, 1179.0, 36.0], shoonya_3sS6B58ON5ICP9, 5734047]
[paragraph, [352.0, 1921.0, 1179.0, 36.0], shoonya_3sS6B58ON5ICP9, 5734047]
[paragraph, [352.0, 1957.0, 1179.0, 36.0], shoonya_3sS6B58ON5ICP9, 5734047]
