[3509, 2480]
[paragraph, [345.0, 394.0, 1782.0, 52.5], shoonya_1s6OXT8YMGZKMO, 5724505]
[paragraph, [345.0, 446.5, 1782.0, 52.5], shoonya_1s6OXT8YMGZKMO, 5724505]
[paragraph, [345.0, 499.0, 1782.0, 52.5], shoonya_1s6OXT8YMGZKMO, 5724505]
[paragraph, [345.0, 551.5, 1782.0, 52.5], shoonya_1s6OXT8YMGZKMO, 5724505]
[paragraph, [345.0, 604.0, 1782.0, 52.5], shoonya_1s6OXT8YMGZKMO, 5724505]
[paragraph, [345.0, 656.5, 1782.0, 52.5], shoonya_1s6OXT8YMGZKMO, 5724505]
[paragraph, [345.0, 709.0, 1782.0, 52.5], shoonya_1s6OXT8YMGZKMO, 5724505]
[paragraph, [345.0, 761.5, 1782.0, 52.5], shoonya_1s6OXT8YMGZKMO, 5724505]
[paragraph, [345.0, 814.0, 1782.0, 52.5], shoonya_1s6OXT8YMGZKMO, 5724505]
[paragraph, [355.0, 986.0, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1038.5, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1091.0, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1143.5, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1196.0, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1248.5, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1301.0, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1353.5, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1406.0, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1458.5, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1511.0, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1563.5, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1616.0, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1668.5, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1721.0, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1773.5, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1826.0, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1878.5, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1931.0, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 1983.5, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 2036.0, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [355.0, 2088.5, 1764.0, 52.5], shoonya_2sVCHW63H9CXNV, 5724505]
[paragraph, [349.0, 2222.0, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2274.5, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2327.0, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2379.5, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2432.0, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2484.5, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2537.0, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2589.5, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2642.0, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2694.5, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2747.0, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2799.5, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2852.0, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2904.5, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 2957.0, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
[paragraph, [349.0, 3009.5, 1795.0, 52.5], shoonya_4s8SIYASJQ2XQ8, 5724505]
